     Time	    Pos x	    Pos y	    Angle	Diff Time	Diff Posx	Diff Posy	Diff Angl	Diff Leng	Rel Speed	Rel AnSpd	
     0.00	 -1345.84	  -537.57	     0.03	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
    20.85	 -1345.85	  -536.86	     0.01	    20.85	    -0.01	     0.71	    -0.02	     0.71	   -34.06	    -0.96
    40.72	 -1345.88	  -534.75	    -0.02	    19.87	    -0.03	     2.11	    -0.03	     2.11	  -106.20	    -1.51
    81.37	 -1345.85	  -536.86	     0.01	    40.65	     0.03	    -2.11	     0.03	     2.11	    51.91	     0.74
   101.73	 -1343.08	  -536.12	     0.00	    20.36	     2.77	     0.74	    -0.01	     2.87	   140.82	    -0.49
   121.55	 -1341.69	  -536.10	    -0.02	    19.82	     1.39	     0.02	    -0.02	     1.39	    70.14	    -1.01
   141.43	 -1336.11	  -536.72	     0.01	    19.88	     5.58	    -0.62	     0.03	     5.61	   282.41	     1.51
   178.93	 -1330.56	  -535.93	    -0.02	    37.50	     5.55	     0.79	    -0.03	     5.61	   149.49	    -0.80
   220.83	 -1323.58	  -537.24	     0.03	    41.90	     6.98	    -1.31	     0.05	     7.10	   169.50	     1.19
   238.96	 -1331.19	  -540.17	     0.06	    18.13	    -7.61	    -2.93	     0.03	     8.15	  -449.78	     1.65
   259.78	 -1308.31	  -535.61	     0.00	    20.82	    22.88	     4.56	    -0.06	    23.33	  1120.56	    -2.88
   279.84	 -1299.95	  -536.90	     0.03	    20.06	     8.36	    -1.29	     0.03	     8.46	   421.68	     1.50
   300.52	 -1291.61	  -536.78	     0.03	    20.68	     8.34	     0.12	     0.00	     8.34	   403.33	     0.00
   320.83	 -1280.50	  -535.92	    -0.01	    20.31	    11.11	     0.86	    -0.04	    11.14	   548.66	    -1.97
   360.80	 -1272.83	  -537.22	     0.04	    39.97	     7.67	    -1.30	     0.05	     7.78	   194.63	     1.25
   380.80	 -1261.01	  -537.75	     0.03	    20.00	    11.82	    -0.53	    -0.01	    11.83	   591.59	    -0.50
   400.72	 -1252.67	  -537.63	     0.00	    19.92	     8.34	     0.12	    -0.03	     8.34	   418.72	    -1.51
   439.73	 -1240.16	  -537.45	     0.00	    39.01	    12.51	     0.18	     0.00	    12.51	   320.72	     0.00
   459.73	 -1230.45	  -536.60	    -0.01	    20.00	     9.71	     0.85	    -0.01	     9.75	   487.36	    -0.50
   502.07	 -1219.30	  -538.55	     0.05	    42.34	    11.15	    -1.95	     0.06	    11.32	   267.34	     1.42
   519.79	 -1208.21	  -536.98	    -0.02	    17.72	    11.09	     1.57	    -0.07	    11.20	   632.09	    -3.95
   539.97	 -1197.07	  -538.23	     0.03	    20.18	    11.14	    -1.25	     0.05	    11.21	   555.50	     2.48
