     Time	    Pos x	    Pos y	    Angle	Diff Time	Diff Posx	Diff Posy	Diff Angl	Diff Long	Rel Speed	Rel AnSpd	
     0.00	 -1345.79	  -540.39	    -0.02	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
    19.47	 -1344.40	  -540.37	     0.00	    19.47	     1.39	     0.02	     0.02	     1.39	    71.48	     1.20
    39.96	 -1341.62	  -540.33	     0.00	    20.49	     2.78	     0.04	    -0.00	     2.78	   135.75	    -0.03
    60.27	 -1336.06	  -540.24	     0.00	    20.31	     5.56	     0.08	     0.00	     5.56	   274.00	     0.03
    81.41	 -1330.49	  -540.16	     0.03	    21.14	     5.56	     0.08	     0.02	     5.56	   263.23	     1.09
    99.50	 -1330.49	  -540.16	     0.03	    18.09	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
   119.08	 -1330.49	  -540.16	     0.03	    19.58	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
   139.22	 -1330.49	  -540.16	     0.03	    20.14	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
   160.87	 -1313.85	  -537.10	     0.07	    21.65	    16.64	     3.06	     0.04	    16.92	   781.45	     2.06
   180.88	 -1313.85	  -537.10	     0.07	    20.01	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
   199.15	 -1313.85	  -537.10	     0.07	    18.27	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
   219.59	 -1313.85	  -537.10	     0.07	    20.44	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
   241.04	 -1288.83	  -536.74	     0.12	    21.46	    25.02	     0.36	     0.05	    25.03	  1166.45	     2.31
   260.94	 -1288.83	  -536.74	     0.12	    19.90	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
   279.20	 -1288.83	  -536.74	     0.12	    18.26	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
   299.39	 -1288.83	  -536.74	     0.12	    20.18	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
   319.89	 -1259.63	  -537.02	     0.24	    20.51	    29.20	    -0.28	     0.12	    29.20	  1423.97	     5.79
   340.27	 -1251.39	  -530.56	     0.16	    20.38	     8.23	     6.46	    -0.08	    10.47	   513.67	    -3.71
   361.59	 -1251.39	  -530.56	     0.16	    21.32	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
   379.69	 -1240.29	  -529.69	     0.18	    18.10	    11.10	     0.87	     0.02	    11.14	   615.35	     1.04
   400.08	 -1231.99	  -527.46	     0.18	    20.39	     8.30	     2.24	     0.00	     8.60	   421.53	     0.00
   420.14	 -1218.11	  -526.55	     0.21	    20.05	    13.88	     0.91	     0.03	    13.91	   693.69	     1.63
   441.15	 -1209.77	  -526.43	     0.25	    21.01	     8.34	     0.12	     0.03	     8.34	   396.79	     1.50
   461.70	 -1197.29	  -524.84	     0.27	    20.55	    12.48	     1.59	     0.02	    12.58	   612.06	     1.08
   479.84	 -1197.29	  -524.84	     0.27	    18.14	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
   499.98	 -1189.04	  -519.78	     0.23	    20.14	     8.25	     5.05	    -0.04	     9.68	   480.52	    -1.90
   520.07	 -1177.20	  -521.73	     0.31	    20.09	    11.84	    -1.94	     0.08	    12.00	   597.44	     3.93
   541.06	 -1166.16	  -517.33	     0.27	    20.99	    11.04	     4.39	    -0.04	    11.88	   566.01	    -1.79
   561.61	 -1155.80	  -513.66	     0.26	    20.55	    10.36	     3.68	    -0.01	    10.99	   534.85	    -0.68
   579.80	 -1155.80	  -513.66	     0.26	    18.19	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
   601.39	 -1155.80	  -513.66	     0.26	    21.60	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
   621.70	 -1135.02	  -509.83	     0.31	    20.30	    20.78	     3.83	     0.05	    21.13	  1040.49	     2.39
   641.66	 -1119.74	  -509.60	     0.39	    19.96	    15.28	     0.22	     0.08	    15.28	   765.44	     4.06
   659.70	 -1119.74	  -509.60	     0.39	    18.04	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
