     Time	    Pos x	    Pos y	    Angle	Diff Time	Diff Posx	Diff Posy	Diff Angl	Diff Long	Rel Speed	Rel AnSpd	
     0.00	 -1349.97	  -540.45	     0.03	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
    19.92	 -1349.27	  -540.44	     0.03	    19.92	     0.70	     0.01	     0.00	     0.70	    34.92	     0.01
    41.04	 -1347.18	  -540.41	     0.05	    21.12	     2.09	     0.03	     0.02	     2.09	    98.82	     1.07
    58.68	 -1347.18	  -540.41	     0.05	    17.64	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
    80.45	 -1347.18	  -540.41	     0.05	    21.76	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
    98.40	 -1347.18	  -540.41	     0.05	    17.96	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
   121.14	 -1309.21	  -523.64	    -1.99	    22.73	    37.98	    16.77	    -2.04	    41.51	 -1826.15	   -89.56
   141.29	 -1309.21	  -523.64	    -1.99	    20.15	     0.00	     0.00	     0.00	     0.00	    -0.00	     0.00
   158.37	 -1309.21	  -523.64	    -1.99	    17.08	     0.00	     0.00	     0.00	     0.00	    -0.00	     0.00
   178.31	 -1309.21	  -523.64	    -1.99	    19.94	     0.00	     0.00	     0.00	     0.00	    -0.00	     0.00
   198.40	 -1309.21	  -523.64	    -1.99	    20.10	     0.00	     0.00	     0.00	     0.00	    -0.00	     0.00
   223.04	 -1322.09	  -543.57	     0.31	    24.63	   -12.88	   -19.93	     2.30	    23.73	  -963.33	    93.37
   238.77	 -1322.09	  -543.57	     0.31	    15.73	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
   259.60	 -1288.47	  -516.29	    -2.24	    20.84	    33.62	    27.28	    -2.55	    43.29	 -2077.82	  -122.45
   280.28	 -1312.51	  -534.26	     0.25	    20.67	   -24.04	   -17.97	     2.49	    30.01	 -1451.67	   120.50
