     Time	    Pos x	    Pos y	    Angle	Diff Time	Diff Posx	Diff Posy	Diff Angl	Diff Leng	Rel Speed	Rel AnSpd	
     0.00	 -1347.23	  -537.59	     0.03	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
    20.07	 -1343.75	  -537.54	    -0.02	    20.07	     3.48	     0.05	    -0.05	     3.48	   173.26	    -2.29
    41.20	 -1341.64	  -538.92	     0.05	    21.12	     2.11	    -1.38	     0.07	     2.52	   119.32	     3.29
    80.75	 -1336.09	  -538.13	    -0.01	    39.55	     5.55	     0.79	    -0.06	     5.61	   141.78	    -1.49
   220.13	 -1309.63	  -539.86	     0.03	   139.38	    26.46	    -1.73	     0.04	    26.51	   190.22	     0.26
   239.73	 -1304.07	  -539.78	     0.03	    19.60	     5.56	     0.08	    -0.00	     5.56	   283.81	    -0.03
   259.52	 -1297.12	  -539.68	    -0.02	    19.80	     6.95	     0.10	    -0.05	     6.95	   351.20	    -2.33
   279.97	 -1291.56	  -539.60	    -0.02	    20.45	     5.56	     0.08	     0.00	     5.56	   271.96	     0.04
   301.37	 -1283.21	  -540.19	    -0.03	    21.40	     8.35	    -0.58	    -0.01	     8.37	   391.18	    -0.62
   381.77	 -1259.55	  -541.96	    -0.02	    80.39	    23.66	    -1.77	     0.01	    23.73	   295.15	     0.16
   419.68	 -1251.21	  -541.84	    -0.02	    37.91	     8.34	     0.12	     0.00	     8.34	   219.93	     0.00
   440.06	 -1241.43	  -544.52	    -0.02	    20.37	     9.77	    -2.68	     0.00	    10.13	   497.40	     0.00
   460.12	 -1234.49	  -544.42	    -0.04	    20.06	     6.95	     0.10	    -0.02	     6.95	   346.32	    -1.08
   481.05	 -1224.07	  -544.26	    -0.02	    20.93	    10.42	     0.15	     0.02	    10.42	   497.94	     0.98
   539.72	 -1206.65	  -546.83	    -0.02	    58.67	    17.41	    -2.57	    -0.00	    17.60	   300.02	    -0.01
   619.66	 -1177.45	  -547.82	    -0.04	    79.94	    29.20	    -0.99	    -0.02	    29.21	   365.44	    -0.27
   641.35	 -1169.10	  -549.11	    -0.07	    21.69	     8.36	    -1.29	    -0.02	     8.46	   389.96	    -1.14
   661.31	 -1155.89	  -549.62	    -0.08	    19.96	    13.21	    -0.51	    -0.01	    13.22	   662.36	    -0.64
   761.47	 -1128.76	  -551.34	    -0.07	   100.15	    27.13	    -1.72	     0.01	    27.18	   271.39	     0.15
   841.85	 -1095.34	  -555.09	    -0.09	    80.38	    33.42	    -3.75	    -0.03	    33.63	   418.34	    -0.31
   882.26	 -1075.84	  -557.63	    -0.07	    40.41	    19.50	    -2.54	     0.03	    19.67	   486.74	     0.62
   962.42	 -1041.71	  -561.37	    -0.07	    80.17	    34.13	    -3.74	    -0.00	    34.33	   428.23	    -0.04
  1021.21	 -1011.77	  -563.75	    -0.07	    58.79	    29.94	    -2.39	     0.00	    30.04	   510.92	     0.05
  1081.62	  -993.63	  -567.02	    -0.08	    60.40	    18.14	    -3.27	    -0.01	    18.43	   305.18	    -0.16
  1182.16	  -960.17	  -570.07	    -0.07	   100.54	    33.45	    -3.05	     0.01	    33.59	   334.12	     0.07
  1202.56	  -955.97	  -571.42	    -0.06	    20.40	     4.20	    -1.35	     0.01	     4.41	   216.29	     0.26
  1264.29	  -939.96	  -571.19	    -0.07	    61.73	    16.01	     0.23	    -0.01	    16.01	   259.38	    -0.10
  1282.24	  -936.46	  -572.55	    -0.09	    17.95	     3.51	    -1.36	    -0.02	     3.76	   209.57	    -0.99
  1343.48	  -921.12	  -573.75	    -0.07	    61.24	    15.34	    -1.19	     0.02	    15.39	   251.31	     0.34
  1382.78	  -918.33	  -573.71	    -0.09	    39.30	     2.79	     0.04	    -0.02	     2.79	    70.89	    -0.52
  1502.88	  -904.35	  -576.33	    -0.04	   120.10	    13.98	    -2.63	     0.04	    14.23	   118.44	     0.37
  1562.83	  -900.17	  -576.27	    -0.06	    59.95	     4.18	     0.06	    -0.02	     4.18	    69.73	    -0.37
  1583.20	  -898.78	  -576.25	    -0.08	    20.37	     1.39	     0.02	    -0.02	     1.39	    68.41	    -0.99
  1603.39	  -895.99	  -576.21	    -0.07	    20.19	     2.79	     0.04	     0.02	     2.79	   138.09	     0.82
  1624.70	  -897.38	  -576.23	    -0.06	    21.31	    -1.39	    -0.02	     0.01	     1.39	   -65.40	     0.25
  1662.96	  -895.99	  -576.21	    -0.06	    38.26	     1.39	     0.02	    -0.00	     1.39	    36.43	    -0.04
  1724.96	  -893.20	  -576.17	    -0.07	    62.00	     2.79	     0.04	    -0.00	     2.79	    44.95	    -0.03
  1786.35	  -894.59	  -576.19	    -0.07	    61.39	    -1.39	    -0.02	     0.00	     1.39	   -22.70	     0.00
