     Time	    Pos x	    Pos y	    Angle	Diff Time	Diff Posx	Diff Posy	Diff Angl	Diff Leng	Rel Speed	Rel AnSpd	
     0.00	 -1348.59	  -539.72	     0.01	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
    23.19	 -1348.57	  -540.43	     0.05	    23.19	     0.02	    -0.71	     0.04	     0.71	   -30.63	     1.72
    43.03	 -1349.99	  -539.04	     0.00	    19.84	    -1.42	     1.39	    -0.05	     1.99	  -100.16	    -2.52
    82.10	 -1348.57	  -540.43	     0.03	    39.07	     1.42	    -1.39	     0.03	     1.99	    50.86	     0.77
   102.27	 -1349.97	  -540.45	     0.03	    20.17	    -1.40	    -0.02	     0.00	     1.40	   -69.42	     0.00
   206.22	 -1348.57	  -540.43	     0.03	   103.95	     1.40	     0.02	     0.00	     1.40	    13.47	     0.00
   241.08	 -1347.18	  -540.41	     0.07	    34.86	     1.39	     0.02	     0.04	     1.39	    39.88	     1.15
   261.15	 -1344.42	  -538.96	     0.05	    20.07	     2.76	     1.45	    -0.02	     3.12	   155.34	    -1.00
   281.70	 -1341.62	  -540.33	     0.07	    20.55	     2.80	    -1.37	     0.02	     3.12	   151.69	     0.97
   301.67	 -1337.48	  -538.15	     0.08	    19.97	     4.14	     2.18	     0.01	     4.68	   234.30	     0.50
   381.20	 -1322.20	  -536.52	     0.15	    79.53	    15.28	     1.63	     0.07	    15.37	   193.22	     0.88
   401.56	 -1313.81	  -539.22	     0.25	    20.36	     8.39	    -2.70	     0.10	     8.81	   432.90	     4.91
   441.05	 -1309.76	  -532.11	     0.17	    39.49	     4.05	     7.11	    -0.08	     8.18	   207.21	    -2.03
   461.67	 -1299.91	  -539.02	     0.33	    20.62	     9.85	    -6.91	     0.16	    12.03	   583.51	     7.76
   481.67	 -1293.05	  -533.28	     0.26	    20.00	     6.86	     5.74	    -0.07	     8.94	   447.23	    -3.50
   501.79	 -1284.78	  -528.93	     0.27	    20.12	     8.27	     4.35	     0.01	     9.34	   464.43	     0.50
   541.05	 -1276.44	  -528.81	     0.32	    39.26	     8.34	     0.12	     0.05	     8.34	   212.45	     1.27
   561.18	 -1269.54	  -525.89	     0.33	    20.13	     6.90	     2.92	     0.01	     7.49	   372.20	     0.50
   582.17	 -1259.89	  -520.81	     0.33	    20.99	     9.65	     5.08	     0.00	    10.91	   519.55	     0.00
   603.04	 -1264.63	  -528.64	     0.41	    20.87	    -4.74	    -7.83	     0.08	     9.15	  -438.57	     3.83
   642.02	 -1240.50	  -517.01	     0.42	    38.98	    24.13	    11.63	     0.01	    26.79	   687.18	     0.26
   662.12	 -1232.19	  -515.48	     0.40	    20.10	     8.31	     1.53	    -0.02	     8.45	   420.38	    -1.00
   682.27	 -1223.90	  -512.54	     0.46	    20.15	     8.29	     2.94	     0.06	     8.80	   436.52	     2.98
   703.38	 -1215.61	  -509.59	     0.49	    21.11	     8.29	     2.95	     0.03	     8.80	   416.83	     1.42
   743.24	 -1206.01	  -502.41	     0.45	    39.86	     9.60	     7.18	    -0.04	    11.99	   300.75	    -1.00
   764.05	 -1197.02	  -499.46	     0.51	    20.81	     8.99	     2.95	     0.06	     9.46	   454.67	     2.88
   784.24	 -1188.07	  -495.09	     0.51	    20.19	     8.95	     4.37	     0.00	     9.96	   493.31	     0.00
   823.18	 -1179.83	  -489.33	     0.54	    38.94	     8.24	     5.76	     0.03	    10.05	   258.18	     0.77
   843.31	 -1171.54	  -486.39	     0.55	    20.13	     8.29	     2.94	     0.01	     8.80	   436.95	     0.50
   863.18	 -1163.33	  -479.22	     0.55	    19.87	     8.21	     7.17	     0.00	    10.90	   548.57	     0.00
   883.93	 -1153.68	  -474.85	     0.56	    20.75	     9.65	     4.37	     0.01	    10.59	   510.52	     0.48
   924.64	 -1144.73	  -470.49	     0.56	    40.71	     8.95	     4.36	     0.00	     9.96	   244.55	     0.00
   944.65	 -1137.16	  -466.15	     0.61	    20.01	     7.57	     4.34	     0.05	     8.73	   436.07	     2.50
   964.71	 -1126.17	  -458.93	     0.63	    20.06	    10.99	     7.22	     0.02	    13.15	   655.51	     1.00
   985.88	 -1117.23	  -453.86	     0.61	    21.17	     8.94	     5.07	    -0.02	    10.28	   485.48	    -0.94
  1024.58	 -1109.70	  -447.41	     0.63	    38.70	     7.53	     6.45	     0.02	     9.91	   256.20	     0.52
  1044.78	 -1102.85	  -441.66	     0.65	    20.20	     6.85	     5.75	     0.02	     8.94	   442.74	     0.99
  1065.21	 -1091.85	  -435.15	     0.67	    20.43	    11.00	     6.51	     0.02	    12.78	   625.65	     0.98
  1086.00	 -1084.30	  -430.10	     0.71	    20.79	     7.55	     5.05	     0.04	     9.08	   436.90	     1.92
  1125.41	 -1075.34	  -425.73	     0.76	    39.41	     8.96	     4.37	     0.05	     9.97	   252.95	     1.27
  1146.43	 -1068.56	  -416.46	     0.72	    21.02	     6.78	     9.27	    -0.04	    11.48	   546.38	    -1.90
  1166.47	 -1060.34	  -409.28	     0.74	    20.04	     8.22	     7.18	     0.02	    10.91	   544.62	     1.00
  1204.63	 -1052.11	  -403.51	     0.76	    38.16	     8.23	     5.77	     0.02	    10.05	   263.40	     0.52
  1224.65	 -1043.88	  -397.04	     0.76	    20.02	     8.23	     6.47	     0.00	    10.47	   522.91	     0.00
  1245.01	 -1035.69	  -388.44	     0.79	    20.36	     8.19	     8.60	     0.03	    11.88	   583.29	     1.47
  1266.05	 -1028.84	  -382.69	     0.81	    21.04	     6.85	     5.75	     0.02	     8.94	   425.07	     0.95
  1304.61	 -1019.26	  -374.07	     0.83	    38.56	     9.58	     8.62	     0.02	    12.89	   334.21	     0.52
  1345.84	 -1004.24	  -358.31	     0.88	    41.23	    15.02	    15.76	     0.05	    21.77	   528.04	     1.21
  1365.91	  -996.75	  -349.72	     0.88	    20.07	     7.49	     8.59	     0.00	    11.40	   567.86	     0.00
  1404.72	  -990.59	  -343.97	     0.87	    38.81	     6.16	     5.75	    -0.01	     8.43	   217.13	    -0.26
  1424.93	  -984.49	  -334.70	     0.87	    20.21	     6.10	     9.27	     0.00	    11.10	   549.08	     0.00
  1445.68	  -978.36	  -327.54	     0.87	    20.75	     6.13	     7.16	     0.00	     9.43	   454.25	     0.00
  1485.11	  -972.90	  -321.80	     0.88	    39.43	     5.46	     5.74	     0.01	     7.92	   200.91	     0.25
  1505.51	  -967.46	  -314.65	     0.90	    20.40	     5.44	     7.15	     0.02	     8.98	   440.40	     0.98
  1525.86	  -962.00	  -308.20	     0.89	    20.35	     5.46	     6.45	    -0.01	     8.45	   415.27	    -0.49
  1546.06	  -956.51	  -303.87	     0.94	    20.20	     5.49	     4.33	     0.05	     6.99	   346.14	     2.48
  1586.02	  -953.16	  -296.75	     0.93	    39.96	     3.35	     7.12	    -0.01	     7.87	   196.92	    -0.25
  1606.34	  -948.35	  -293.13	     0.95	    20.32	     4.81	     3.62	     0.02	     6.02	   296.26	     0.98
  1628.02	  -944.26	  -288.12	     0.96	    21.68	     4.09	     5.01	     0.01	     6.47	   298.32	     0.46
  1648.12	  -941.57	  -283.13	     0.95	    20.10	     2.69	     4.99	    -0.01	     5.67	   282.03	    -0.50
  1686.41	  -938.84	  -279.55	     0.94	    38.29	     2.73	     3.58	    -0.01	     4.50	   117.58	    -0.26
  1706.88	  -936.11	  -276.67	     0.97	    20.47	     2.73	     2.88	     0.03	     3.97	   193.86	     1.47
  1727.10	  -934.79	  -272.41	     0.92	    20.22	     1.32	     4.26	    -0.05	     4.46	   220.56	    -2.47
  1766.34	  -932.03	  -270.95	     1.00	    39.24	     2.76	     1.46	     0.08	     3.12	    79.57	     2.04
  1786.46	  -929.30	  -268.07	     0.96	    20.12	     2.73	     2.88	    -0.04	     3.97	   197.23	    -1.99
  1807.40	  -929.35	  -265.25	     0.94	    20.94	    -0.05	     2.82	    -0.02	     2.82	   134.69	    -0.96
  1828.19	  -928.01	  -262.40	     0.94	    20.79	     1.34	     2.85	     0.00	     3.15	   151.48	     0.00
  1866.69	  -926.64	  -260.96	     0.94	    38.50	     1.37	     1.44	     0.00	     1.99	    51.63	     0.00
  1887.79	  -924.55	  -260.92	     0.97	    21.10	     2.09	     0.04	     0.03	     2.09	    99.07	     1.42
  1907.78	  -924.57	  -259.51	     0.97	    19.99	    -0.02	     1.41	     0.00	     1.41	    70.54	     0.00
  1928.14	  -925.32	  -256.69	     0.92	    20.36	    -0.75	     2.82	    -0.05	     2.92	   143.32	    -2.46
  1966.41	  -922.53	  -256.64	     0.98	    38.27	     2.79	     0.05	     0.06	     2.79	    72.91	     1.57
