     Time	    Pos x	    Pos y	    Angle	Diff Time	Diff Posx	Diff Posy	Diff Angl	Diff Leng	Rel Speed	Rel AnSpd	
     0.00	 -1343.68	  -541.77	     2.25	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
    20.16	 -1345.77	  -541.79	     0.03	    20.16	    -2.09	    -0.02	    -2.22	     2.09	  -103.68	  -110.12
   121.98	 -1345.79	  -540.39	     0.00	   101.82	    -0.02	     1.40	    -0.03	     1.40	   -13.75	    -0.29
   161.31	 -1347.18	  -540.41	     0.00	    39.33	    -1.39	    -0.02	     0.00	     1.39	   -35.35	     0.00
   182.46	 -1345.78	  -541.09	    -0.01	    21.15	     1.40	    -0.68	    -0.01	     1.56	    73.59	    -0.47
   254.52	 -1345.79	  -540.39	     0.00	    72.06	    -0.01	     0.70	     0.01	     0.70	    -9.72	     0.14
   282.65	 -1360.33	  -544.82	     0.08	    28.13	   -14.54	    -4.43	     0.08	    15.20	  -540.34	     2.84
   302.58	 -1345.79	  -540.39	     0.00	    19.93	    14.54	     4.43	    -0.08	    15.20	   762.66	    -4.01
   323.91	 -1347.18	  -540.41	     0.03	    21.33	    -1.39	    -0.02	     0.03	     1.39	   -65.17	     1.41
   362.65	 -1345.79	  -540.39	    -0.02	    38.74	     1.39	     0.02	    -0.05	     1.39	    35.88	    -1.29
   382.83	 -1345.77	  -541.79	     0.05	    20.18	     0.02	    -1.40	     0.07	     1.40	   -69.38	     3.47
   402.83	 -1345.79	  -540.39	     0.03	    20.00	    -0.02	     1.40	    -0.02	     1.40	    70.01	    -1.00
   424.06	 -1345.63	  -550.25	     0.19	    21.23	     0.16	    -9.86	     0.16	     9.86	  -464.50	     7.54
   482.98	 -1343.71	  -540.36	     0.00	    58.92	     1.92	     9.89	    -0.19	    10.07	   170.99	    -3.22
   504.36	 -1343.00	  -541.05	     0.01	    21.38	     0.71	    -0.69	     0.01	     0.99	    46.31	     0.47
   524.38	 -1354.73	  -546.86	     0.07	    20.02	   -11.73	    -5.81	     0.06	    13.09	  -653.85	     3.00
   604.25	 -1329.10	  -540.14	    -0.02	    79.87	    25.63	     6.72	    -0.09	    26.50	   331.74	    -1.13
   642.93	 -1324.91	  -541.49	    -0.02	    38.68	     4.19	    -1.35	     0.00	     4.40	   113.81	     0.00
   663.71	 -1319.34	  -541.41	     0.00	    20.78	     5.57	     0.08	     0.02	     5.57	   268.07	     0.96
   683.61	 -1283.38	  -529.61	    -2.20	    19.90	    35.96	    11.80	    -2.20	    37.85	 -1901.84	  -110.55
   704.45	 -1308.22	  -541.25	     0.00	    20.84	   -24.84	   -11.64	     2.20	    27.43	 -1316.32	   105.57
   743.07	 -1302.64	  -542.58	     0.03	    38.62	     5.58	    -1.33	     0.03	     5.74	   148.53	     0.78
   763.27	 -1295.68	  -542.48	    -0.02	    20.20	     6.96	     0.10	    -0.05	     6.96	   344.59	    -2.48
   783.75	 -1290.12	  -542.40	    -0.02	    20.48	     5.56	     0.08	     0.00	     5.56	   271.51	     0.00
   822.97	 -1281.76	  -543.69	     0.00	    39.22	     8.36	    -1.29	     0.02	     8.46	   215.68	     0.51
   843.16	 -1276.22	  -542.20	    -0.02	    20.19	     5.54	     1.49	    -0.02	     5.74	   284.14	    -0.99
   864.16	 -1267.86	  -543.49	    -0.04	    21.00	     8.36	    -1.29	    -0.02	     8.46	   402.81	    -0.95
   884.54	 -1260.89	  -544.80	    -0.02	    20.38	     6.97	    -1.31	     0.02	     7.09	   347.99	     0.98
   963.81	 -1237.27	  -544.46	    -0.04	    79.27	    23.62	     0.34	    -0.02	    23.62	   298.00	    -0.25
   984.97	 -1228.91	  -545.74	    -0.04	    21.16	     8.36	    -1.28	     0.00	     8.46	   399.69	     0.00
  1023.21	 -1220.57	  -545.62	    -0.06	    38.24	     8.34	     0.12	    -0.02	     8.34	   218.12	    -0.52
  1102.98	 -1195.51	  -548.08	    -0.04	    79.77	    25.06	    -2.46	     0.02	    25.18	   315.66	     0.25
  1124.72	 -1185.11	  -547.22	    -0.08	    21.74	    10.40	     0.86	    -0.04	    10.44	   480.01	    -1.84
  1144.56	 -1177.43	  -549.23	    -0.02	    19.84	     7.68	    -2.01	     0.06	     7.94	   400.13	     3.02
  1164.81	 -1167.71	  -549.09	    -0.04	    20.25	     9.72	     0.14	    -0.02	     9.72	   480.05	    -0.99
  1204.38	 -1162.15	  -549.01	    -0.06	    39.57	     5.56	     0.08	    -0.02	     5.56	   140.53	    -0.51
  1224.33	 -1149.63	  -549.53	    -0.08	    19.95	    12.52	    -0.52	    -0.02	    12.53	   628.11	    -1.00
  1265.85	 -1131.54	  -551.38	    -0.02	    41.52	    18.09	    -1.85	     0.06	    18.18	   437.97	     1.45
  1304.93	 -1123.19	  -551.97	    -0.05	    39.08	     8.35	    -0.59	    -0.03	     8.37	   214.20	    -0.77
  1344.75	 -1113.45	  -552.53	    -0.04	    39.82	     9.74	    -0.56	     0.01	     9.76	   245.00	     0.25
  1403.59	 -1093.96	  -554.36	    -0.01	    58.84	    19.49	    -1.83	     0.03	    19.58	   332.69	     0.51
  1463.11	 -1066.14	  -556.08	    -0.02	    59.52	    27.82	    -1.72	    -0.01	    27.87	   468.30	    -0.17
  1483.26	 -1059.16	  -557.39	    -0.04	    20.15	     6.98	    -1.31	    -0.02	     7.10	   352.45	    -0.99
  1504.17	 -1046.65	  -557.20	    -0.04	    20.91	    12.51	     0.19	     0.00	    12.51	   598.35	     0.00
  1563.15	 -1027.85	  -559.05	    -0.06	    58.98	    18.80	    -1.85	    -0.02	    18.89	   320.29	    -0.34
  1583.51	 -1020.19	  -559.64	    -0.06	    20.36	     7.66	    -0.59	     0.00	     7.68	   377.34	     0.00
  1604.50	 -1010.45	  -559.50	    -0.07	    20.99	     9.74	     0.14	    -0.01	     9.74	   464.08	    -0.48
  1624.61	 -1002.80	  -559.39	    -0.09	    20.11	     7.65	     0.11	    -0.02	     7.65	   380.45	    -0.99
  1644.89	  -995.12	  -561.40	    -0.05	    20.28	     7.68	    -2.01	     0.04	     7.94	   391.45	     1.97
  1683.35	  -989.54	  -562.02	    -0.07	    38.46	     5.58	    -0.62	    -0.02	     5.61	   145.98	    -0.52
  1743.97	  -976.33	  -561.83	    -0.07	    60.62	    13.21	     0.19	     0.00	    13.21	   217.94	     0.00
  1825.29	  -956.11	  -563.66	    -0.05	    81.32	    20.22	    -1.83	     0.02	    20.30	   249.66	     0.25
  1864.62	  -953.33	  -563.62	    -0.05	    39.33	     2.78	     0.04	     0.00	     2.78	    70.69	     0.00
  1926.80	  -942.17	  -564.87	    -0.03	    62.18	    11.16	    -1.25	     0.02	    11.23	   180.60	     0.32
  1965.04	  -940.06	  -565.54	    -0.04	    38.24	     2.11	    -0.67	    -0.01	     2.21	    57.89	    -0.26
  2025.92	  -935.20	  -564.77	    -0.03	    60.88	     4.86	     0.77	     0.01	     4.92	    80.82	     0.16
  2086.28	  -933.77	  -566.86	     0.00	    60.36	     1.43	    -2.09	     0.03	     2.53	    41.95	     0.50
  2124.82	  -931.01	  -565.41	    -0.09	    38.54	     2.76	     1.45	    -0.09	     3.12	    80.90	    -2.34
