     Time	    Pos x	    Pos y	    Angle	Diff Time	Diff Posx	Diff Posy	Diff Angl	Diff Leng	Rel Speed	Rel AnSpd	
     0.00	 -1350.01	  -537.63	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
    20.13	 -1348.61	  -538.31	     0.04	    20.13	     1.40	    -0.68	     0.04	     1.56	    77.32	     1.99
   100.14	 -1347.23	  -537.59	     0.03	    80.01	     1.38	     0.72	    -0.01	     1.56	    19.45	    -0.12
   120.08	 -1314.73	  -525.83	    -2.04	    19.94	    32.50	    11.76	    -2.07	    34.56	 -1733.31	  -103.81
   140.11	 -1344.44	  -538.25	     0.01	    20.03	   -29.71	   -12.42	     2.05	    32.20	 -1607.67	   102.35
   221.05	 -1340.18	  -543.12	     0.12	    80.94	     4.26	    -4.87	     0.11	     6.47	    79.94	     1.36
   240.96	 -1336.10	  -537.43	     0.08	    19.91	     4.08	     5.69	    -0.04	     7.00	   351.66	    -2.01
   261.19	 -1334.53	  -548.68	     0.25	    20.23	     1.57	   -11.25	     0.17	    11.36	  -561.49	     8.40
   300.55	 -1331.85	  -542.30	     0.11	    39.36	     2.68	     6.38	    -0.14	     6.92	   175.81	    -3.56
   380.13	 -1323.57	  -537.95	     0.08	    79.58	     8.28	     4.35	    -0.03	     9.35	   117.53	    -0.38
   421.02	 -1319.41	  -537.18	     0.05	    40.89	     4.16	     0.77	    -0.03	     4.23	   103.46	    -0.73
   480.12	 -1308.29	  -537.02	     0.07	    59.10	    11.12	     0.16	     0.02	    11.12	   188.18	     0.34
   501.06	 -1305.38	  -544.74	     0.26	    20.94	     2.91	    -7.72	     0.19	     8.25	   393.99	     9.07
   560.21	 -1298.48	  -541.82	     0.17	    59.15	     6.90	     2.92	    -0.09	     7.49	   126.67	    -1.52
   581.15	 -1295.76	  -537.55	     0.13	    20.94	     2.72	     4.27	    -0.04	     5.06	   241.77	    -1.91
   601.16	 -1312.39	  -541.31	     0.14	    20.01	   -16.63	    -3.76	     0.01	    17.05	  -852.06	     0.50
   621.31	 -1287.31	  -544.47	     0.21	    20.15	    25.08	    -3.16	     0.07	    25.28	  1254.51	     3.47
   641.83	 -1281.71	  -546.51	     0.29	    20.52	     5.60	    -2.04	     0.08	     5.96	   290.45	     3.90
   721.71	 -1270.72	  -538.59	     0.17	    79.88	    10.99	     7.92	    -0.12	    13.55	   169.59	    -1.50
   761.40	 -1266.63	  -533.60	     0.12	    39.69	     4.09	     4.99	    -0.05	     6.45	   162.56	    -1.26
   841.56	 -1270.04	  -537.88	     0.15	    80.16	    -3.41	    -4.28	     0.03	     5.47	   -68.27	     0.37
   862.72	 -1249.98	  -531.95	     0.14	    21.16	    20.06	     5.93	    -0.01	    20.92	   988.57	    -0.47
   882.97	 -1244.40	  -533.28	     0.74	    20.25	     5.58	    -1.33	     0.60	     5.74	   283.27	    29.63
