     Time	    Pos x	    Pos y	    Angle	Diff Time	Diff Posx	Diff Posy	Diff Angl	Diff Leng	Rel Speed	Rel AnSpd	
     0.00	 -1347.18	  -540.41	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
    20.35	 -1345.79	  -540.39	     0.03	    20.35	     1.39	     0.02	     0.02	     1.39	    68.37	     1.12
   122.20	 -1341.62	  -540.33	     0.00	   101.85	     4.17	     0.06	    -0.02	     4.17	    40.98	    -0.22
   160.34	 -1340.23	  -540.30	     0.00	    38.14	     1.39	     0.02	     0.00	     1.39	    36.47	     0.01
   180.43	 -1337.45	  -540.26	     0.03	    20.09	     2.78	     0.04	     0.02	     2.78	   138.46	     1.15
   200.75	 -1336.06	  -540.24	     0.00	    20.32	     1.39	     0.02	    -0.02	     1.39	    68.46	    -1.16
   222.48	 -1334.66	  -540.22	     0.03	    21.73	     1.39	     0.02	     0.02	     1.39	    64.01	     1.06
   242.69	 -1333.27	  -540.20	     0.00	    20.21	     1.39	     0.02	    -0.02	     1.39	    68.83	    -1.13
   281.62	 -1330.49	  -540.16	     0.00	    38.93	     2.78	     0.04	    -0.00	     2.78	    71.47	    -0.01
   301.83	 -1329.10	  -540.14	     0.03	    20.21	     1.39	     0.02	     0.02	     1.39	    68.82	     1.15
   321.89	 -1325.62	  -540.09	    -0.80	    20.07	     3.48	     0.05	    -0.82	     3.48	   173.27	   -40.98
   342.62	 -1324.93	  -540.08	     0.00	    20.73	     0.70	     0.01	     0.80	     0.70	    33.56	    38.58
   421.63	 -1317.95	  -541.39	     0.03	    79.01	     6.98	    -1.31	     0.02	     7.10	    89.82	     0.28
   460.80	 -1316.59	  -539.96	     0.03	    39.17	     1.37	     1.43	     0.00	     1.98	    50.53	     0.01
   480.81	 -1313.80	  -539.92	     0.00	    20.00	     2.78	     0.04	    -0.02	     2.78	   139.04	    -1.10
   501.06	 -1311.00	  -541.29	     0.05	    20.25	     2.80	    -1.37	     0.05	     3.12	   154.08	     2.36
   521.18	 -1308.23	  -540.55	     0.01	    20.12	     2.77	     0.74	    -0.04	     2.87	   142.54	    -1.84
   560.51	 -1304.77	  -539.79	     0.03	    39.33	     3.46	     0.76	     0.01	     3.55	    90.15	     0.30
   580.63	 -1302.68	  -539.76	     0.03	    20.12	     2.09	     0.03	    -0.00	     2.09	   103.66	    -0.03
   601.24	 -1299.90	  -539.72	     0.03	    20.62	     2.78	     0.04	     0.00	     2.78	   134.89	     0.01
   621.86	 -1297.11	  -540.39	     0.04	    20.62	     2.79	    -0.66	     0.01	     2.87	   139.22	     0.59
   660.83	 -1294.33	  -540.35	     0.01	    38.97	     2.78	     0.04	    -0.02	     2.78	    71.34	    -0.61
   680.88	 -1291.56	  -539.60	    -0.02	    20.05	     2.77	     0.74	    -0.04	     2.87	   142.99	    -1.76
   720.45	 -1288.06	  -540.96	     0.05	    39.56	     3.50	    -1.36	     0.07	     3.75	    94.86	     1.80
   740.45	 -1285.95	  -542.34	     0.07	    20.01	     2.11	    -1.38	     0.02	     2.52	   125.94	     1.16
   782.12	 -1280.39	  -542.26	     0.05	    41.67	     5.56	     0.08	    -0.03	     5.56	   133.43	    -0.60
   840.45	 -1274.86	  -540.77	     0.05	    58.33	     5.54	     1.49	     0.00	     5.73	    98.30	     0.03
   860.58	 -1270.57	  -547.76	     0.12	    20.13	     4.29	    -6.99	     0.07	     8.20	   407.19	     3.62
   920.75	 -1263.74	  -540.61	     0.03	    60.17	     6.83	     7.15	    -0.10	     9.89	   164.35	    -1.60
   989.30	 -1255.38	  -541.90	     0.05	    68.55	     8.36	    -1.29	     0.02	     8.46	   123.41	     0.32
  1022.46	 -1252.60	  -541.86	     0.05	    33.16	     2.78	     0.04	     0.00	     2.78	    83.82	     0.05
  1041.58	 -1249.82	  -541.82	     0.03	    19.12	     2.78	     0.04	    -0.02	     2.78	   145.38	    -1.26
  1061.81	 -1247.04	  -541.78	     0.03	    20.22	     2.78	     0.04	    -0.00	     2.78	   137.44	    -0.01
  1141.51	 -1235.92	  -541.62	     0.00	    79.70	    11.12	     0.16	    -0.02	    11.12	   139.48	    -0.28
  1201.65	 -1230.37	  -541.54	     0.03	    60.14	     5.56	     0.08	     0.02	     5.56	    92.43	     0.38
  1262.30	 -1222.02	  -542.12	     0.04	    60.65	     8.35	    -0.58	     0.01	     8.37	   137.97	     0.19
  1301.64	 -1219.25	  -541.37	     0.03	    39.33	     2.77	     0.75	    -0.01	     2.87	    72.85	    -0.29
  1321.78	 -1213.69	  -541.29	     0.03	    20.14	     5.56	     0.08	     0.00	     5.56	   275.92	     0.01
  1381.67	 -1208.14	  -541.21	     0.03	    59.89	     5.56	     0.08	    -0.00	     5.56	    92.80	    -0.00
  1403.69	 -1205.36	  -541.17	     0.00	    22.02	     2.78	     0.04	    -0.02	     2.78	   126.19	    -1.02
  1423.48	 -1202.58	  -541.13	     0.03	    19.79	     2.78	     0.04	     0.02	     2.78	   140.40	     1.14
  1502.76	 -1192.16	  -540.98	     0.03	    79.28	    10.42	     0.15	    -0.00	    10.42	   131.44	    -0.00
  1524.60	 -1188.69	  -540.93	     0.00	    21.84	     3.47	     0.05	    -0.02	     3.47	   159.04	    -1.04
  1545.33	 -1185.91	  -540.89	     0.03	    20.73	     2.78	     0.04	     0.02	     2.78	   134.04	     1.10
  1644.48	 -1172.63	  -545.63	     0.10	    99.15	    13.28	    -4.74	     0.08	    14.10	   142.23	     0.78
  1683.20	 -1169.21	  -542.06	     0.05	    38.71	     3.41	     3.57	    -0.06	     4.94	   127.66	    -1.43
  1744.32	 -1159.37	  -548.96	     0.16	    61.13	     9.84	    -6.91	     0.12	    12.03	   196.74	     1.88
  1783.35	 -1169.84	  -546.30	     0.10	    39.03	   -10.47	     2.67	    -0.07	    10.80	  -276.74	    -1.71
  1803.43	 -1152.56	  -541.11	     0.04	    20.08	    17.28	     5.19	    -0.06	    18.04	   898.30	    -2.97
  1904.56	 -1141.44	  -540.95	     0.01	   101.13	    11.11	     0.16	    -0.02	    11.11	   109.91	    -0.22
  1933.48	 -1135.90	  -540.16	     0.08	    28.92	     5.54	     0.79	     0.06	     5.60	   193.64	     2.14
  1964.17	 -1133.12	  -540.12	     0.03	    30.69	     2.78	     0.04	    -0.05	     2.78	    90.54	    -1.66
  2026.12	 -1121.98	  -541.37	     0.10	    61.95	    11.14	    -1.25	     0.07	    11.21	   180.92	     1.15
  2064.79	 -1133.72	  -545.77	     0.12	    38.67	   -11.74	    -4.40	     0.02	    12.53	  -324.11	     0.56
  2145.02	 -1110.85	  -541.91	     0.08	    80.22	    22.86	     3.86	    -0.04	    23.19	   289.01	    -0.45
  2165.22	 -1109.39	  -546.12	     0.13	    20.20	     1.46	    -4.21	     0.05	     4.46	   220.58	     2.34
  2184.98	 -1131.63	  -545.74	     0.09	    19.76	   -22.24	     0.38	    -0.04	    22.24	 -1125.77	    -2.09
  2365.91	 -1103.79	  -548.86	     0.17	   180.93	    27.84	    -3.12	     0.08	    28.02	   154.86	     0.46
  2386.35	 -1103.22	  -541.10	     0.05	    20.44	     0.56	     7.77	    -0.12	     7.79	   380.88	    -5.95
  2406.41	 -1103.83	  -546.04	     0.17	    20.06	    -0.61	    -4.95	     0.12	     4.98	  -248.36	     6.06
  2446.18	 -1123.99	  -545.63	     0.09	    39.77	   -20.16	     0.41	    -0.08	    20.16	  -506.93	    -1.98
