     Time	    Pos x	    Pos y	    Angle	Diff Time	Diff Posx	Diff Posy	Diff Angl	Diff Leng	Rel Speed	Rel AnSpd	
     0.00	 -1344.63	  -708.35	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
    19.95	 -1341.85	  -708.31	     0.00	    19.95	     2.78	     0.04	     0.00	     2.78	   139.36	     0.00
    40.06	 -1338.34	  -709.67	     0.03	    20.11	     3.51	    -1.36	     0.03	     3.76	   187.18	     1.49
    60.42	 -1333.49	  -708.18	     0.00	    20.36	     4.85	     1.49	    -0.03	     5.07	   249.20	    -1.47
    81.70	 -1325.14	  -708.06	     0.00	    21.28	     8.35	     0.12	     0.00	     8.35	   392.43	     0.00
   220.33	 -1281.92	  -712.37	     0.04	   138.63	    43.22	    -4.31	     0.04	    43.43	   313.31	     0.29
   240.32	 -1270.82	  -710.09	    -0.02	    19.99	    11.10	     2.28	    -0.06	    11.33	   566.87	    -3.00
   261.48	 -1259.68	  -710.64	    -0.03	    21.16	    11.14	    -0.55	    -0.01	    11.15	   527.11	    -0.47
   320.33	 -1234.61	  -712.40	    -0.02	    58.85	    25.07	    -1.76	     0.01	    25.13	   427.05	     0.17
   340.26	 -1223.49	  -711.53	    -0.05	    19.93	    11.12	     0.87	    -0.03	    11.15	   559.66	    -1.51
   360.22	 -1210.96	  -712.06	    -0.04	    19.96	    12.53	    -0.53	     0.01	    12.54	   628.32	     0.50
   381.86	 -1167.27	  -703.67	    -2.39	    21.64	    43.69	     8.39	    -2.35	    44.49	 -2055.84	  -108.60
   461.68	 -1159.44	  -715.57	    -0.02	    79.82	     7.83	   -11.90	     2.37	    14.24	   178.46	    29.69
   562.86	 -1107.91	  -719.10	    -0.07	   101.18	    51.53	    -3.53	    -0.05	    51.65	   510.48	    -0.49
   600.27	 -1091.17	  -721.69	    -0.07	    37.41	    16.74	    -2.59	     0.00	    16.94	   452.80	     0.00
   663.93	 -1052.14	  -725.41	    -0.07	    63.66	    39.03	    -3.72	     0.00	    39.21	   615.88	     0.00
   822.07	  -971.92	  -734.25	    -0.11	   158.14	    80.22	    -8.84	    -0.04	    80.71	   510.34	    -0.25
   902.51	  -942.61	  -736.70	    -0.14	    80.44	    29.31	    -2.45	    -0.03	    29.41	   365.64	    -0.37
   961.30	  -903.46	  -741.86	    -0.14	    58.79	    39.15	    -5.16	     0.00	    39.49	   671.69	     0.00
   982.27	  -889.41	  -747.36	    -0.12	    20.97	    14.05	    -5.50	     0.02	    15.09	   719.51	     0.95
  1043.06	  -860.74	  -749.83	    -0.14	    60.79	    28.67	    -2.47	    -0.02	    28.78	   473.37	    -0.33
  1103.26	  -835.49	  -755.20	    -0.16	    60.20	    25.25	    -5.37	    -0.02	    25.81	   428.82	    -0.33
  1141.31	  -808.12	  -760.54	    -0.16	    38.05	    27.37	    -5.34	     0.00	    27.89	   732.88	     0.00
  1202.99	  -782.13	  -765.92	    -0.14	    61.68	    25.99	    -5.38	     0.02	    26.54	   430.30	     0.32
  1341.50	  -700.45	  -783.46	    -0.18	   138.51	    81.68	   -17.54	    -0.04	    83.54	   603.15	    -0.29
  1402.70	  -673.66	  -788.15	    -0.23	    61.20	    26.79	    -4.69	    -0.05	    27.20	   444.40	    -0.82
  1462.78	  -639.04	  -795.61	    -0.23	    60.08	    34.62	    -7.46	     0.00	    35.41	   589.46	     0.00
  1521.35	  -617.05	  -802.51	    -0.24	    58.57	    21.99	    -6.90	    -0.01	    23.05	   393.50	    -0.17
  1581.74	  -588.70	  -809.36	    -0.20	    60.39	    28.35	    -6.85	     0.04	    29.17	   482.96	     0.66
  1603.27	  -581.58	  -812.14	    -0.19	    21.53	     7.12	    -2.78	     0.01	     7.64	   355.02	     0.46
  1641.69	  -571.67	  -813.47	    -0.21	    38.42	     9.91	    -1.33	    -0.02	    10.00	   260.25	    -0.52
  1661.99	  -564.57	  -814.83	    -0.23	    20.30	     7.10	    -1.36	    -0.02	     7.23	   356.11	    -0.99
  1762.75	  -543.24	  -820.34	    -0.19	   100.76	    21.33	    -5.51	     0.04	    22.03	   218.64	     0.40
  1801.84	  -531.86	  -823.09	    -0.21	    39.09	    11.38	    -2.75	    -0.02	    11.71	   299.50	    -0.51
  1822.28	  -526.15	  -825.18	    -0.16	    20.44	     5.71	    -2.09	     0.05	     6.08	   297.48	     2.45
  1844.53	  -521.21	  -824.42	    -0.21	    22.25	     4.94	     0.76	    -0.05	     5.00	   224.63	    -2.25
  1864.51	  -516.93	  -825.81	    -0.19	    19.98	     4.28	    -1.39	     0.02	     4.50	   225.23	     1.00
  1884.55	  -512.65	  -827.20	    -0.21	    20.04	     4.28	    -1.39	    -0.02	     4.50	   224.55	    -1.00
  1922.51	  -508.38	  -827.88	    -0.20	    37.96	     4.27	    -0.68	     0.01	     4.32	   113.90	     0.26
  1942.82	  -504.82	  -828.56	    -0.19	    20.31	     3.56	    -0.68	     0.01	     3.62	   178.45	     0.49
  1982.76	  -503.37	  -829.98	    -0.20	    39.94	     1.45	    -1.42	    -0.01	     2.03	    50.81	    -0.25
  2002.80	  -497.70	  -829.93	    -0.22	    20.04	     5.67	     0.05	    -0.02	     5.67	   282.95	    -1.00
  2042.74	  -494.85	  -830.62	    -0.20	    39.94	     2.85	    -0.69	     0.02	     2.93	    73.42	     0.50
  2063.68	  -493.38	  -832.75	    -0.19	    20.94	     1.47	    -2.13	     0.01	     2.59	   123.59	     0.48
  2102.94	  -491.99	  -831.31	    -0.25	    39.26	     1.39	     1.44	    -0.06	     2.00	    50.98	    -1.53
  2123.06	  -489.82	  -833.43	    -0.20	    20.12	     2.17	    -2.12	     0.05	     3.03	   150.78	     2.49
