     Time	    Pos x	    Pos y	    Angle	Diff Time	Diff Posx	Diff Posy	Diff Angl	Diff Leng	Rel Speed	Rel AnSpd	
     0.00	 -1724.59	  -544.38	     0.03	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
    20.08	 -1721.77	  -544.34	     0.05	    20.08	     2.82	     0.04	     0.02	     2.82	   140.45	     1.00
    79.65	 -1721.79	  -542.93	     0.03	    59.57	    -0.02	     1.41	    -0.02	     1.41	    23.67	    -0.34
   119.94	 -1718.96	  -544.30	     0.05	    40.29	     2.83	    -1.37	     0.02	     3.14	    78.04	     0.50
   139.66	 -1716.12	  -545.68	     0.08	    19.72	     2.84	    -1.38	     0.03	     3.16	   160.12	     1.52
   159.61	 -1716.16	  -543.56	     0.04	    19.95	    -0.04	     2.12	    -0.04	     2.12	   106.28	    -2.01
   179.62	 -1682.61	  -531.77	    -2.07	    20.01	    33.55	    11.79	    -2.11	    35.56	 -1777.18	  -105.45
   219.89	 -1710.52	  -544.18	     0.05	    40.27	   -27.91	   -12.41	     2.12	    30.54	  -758.50	    52.64
   259.61	 -1707.71	  -544.14	     0.05	    39.72	     2.81	     0.04	     0.00	     2.81	    70.75	     0.00
   322.05	 -1700.56	  -551.82	     0.18	    62.44	     7.15	    -7.68	     0.13	    10.49	   168.05	     2.08
   339.74	 -1667.19	  -530.14	    -2.31	    17.69	    33.37	    21.68	    -2.49	    39.79	 -2249.53	  -140.76
   360.14	 -1694.98	  -548.91	     0.13	    20.40	   -27.79	   -18.77	     2.44	    33.54	 -1643.87	   119.61
   420.04	 -1688.03	  -543.86	     0.05	    59.90	     6.95	     5.05	    -0.08	     8.59	   143.42	    -1.34
   440.18	 -1686.60	  -545.96	     0.09	    20.14	     1.43	    -2.10	     0.04	     2.54	   126.15	     1.99
   481.36	 -1682.42	  -543.79	     0.15	    41.18	     4.18	     2.17	     0.06	     4.71	   114.37	     1.46
   560.90	 -1669.75	  -545.72	     0.11	    79.54	    12.67	    -1.93	    -0.04	    12.82	   161.13	    -0.50
   602.93	 -1678.85	  -547.97	     0.14	    42.03	    -9.10	    -2.25	     0.03	     9.37	  -223.03	     0.71
   661.25	 -1655.77	  -541.99	     0.07	    58.32	    23.08	     5.98	    -0.07	    23.84	   408.82	    -1.20
   680.38	 -1650.96	  -534.86	    -0.83	    19.13	     4.81	     7.13	    -0.90	     8.60	  -449.60	   -47.05
   700.90	 -1648.75	  -541.90	     0.07	    20.52	     2.21	    -7.04	     0.90	     7.38	   359.59	    43.86
   740.39	 -1643.12	  -543.23	     0.10	    39.49	     5.63	    -1.33	     0.03	     5.78	   146.49	     0.76
   760.42	 -1659.92	  -546.29	     0.11	    20.03	   -16.80	    -3.06	     0.01	    17.08	  -852.54	     0.50
   780.37	 -1636.08	  -545.25	     0.14	    19.95	    23.84	     1.04	     0.03	    23.86	  1196.12	     1.50
   800.42	 -1629.83	  -541.63	    -0.53	    20.05	     6.25	     3.62	    -0.67	     7.22	   360.23	   -33.42
   881.58	 -1620.72	  -541.50	     0.12	    81.16	     9.11	     0.13	     0.65	     9.11	   112.26	     8.01
   901.70	 -1616.50	  -542.14	     0.14	    20.12	     4.22	    -0.64	     0.02	     4.27	   212.14	     0.99
   940.54	 -1612.32	  -540.67	     0.08	    38.84	     4.18	     1.47	    -0.06	     4.43	   114.08	    -1.54
  1000.57	 -1618.58	  -544.29	     0.13	    60.03	    -6.26	    -3.62	     0.05	     7.23	  -120.46	     0.83
  1141.04	 -1580.04	  -545.86	     0.25	   140.47	    38.54	    -1.57	     0.12	    38.57	   274.59	     0.85
  1161.83	 -1575.99	  -536.63	     0.09	    20.79	     4.05	     9.23	    -0.16	    10.08	   484.82	    -7.70
  1201.20	 -1571.75	  -539.39	     0.14	    39.37	     4.24	    -2.76	     0.05	     5.06	   128.50	     1.27
  1221.34	 -1568.96	  -538.64	     0.13	    20.14	     2.79	     0.75	    -0.01	     2.89	   143.45	    -0.50
  1280.53	 -1560.63	  -535.00	     0.17	    59.19	     8.33	     3.64	     0.04	     9.09	   153.58	     0.68
  1300.51	 -1554.87	  -545.50	     0.27	    19.98	     5.76	   -10.50	     0.10	    11.98	   599.41	     5.01
  1321.75	 -1550.80	  -537.68	     0.17	    21.24	     4.07	     7.82	    -0.10	     8.82	   415.05	    -4.71
  1381.10	 -1542.46	  -534.74	     0.09	    59.35	     8.34	     2.94	    -0.08	     8.84	   149.00	    -1.35
