     Time	    Pos x	    Pos y	    Angle	Diff Time	Diff Posx	Diff Posy	Diff Angl	Diff Leng	Rel Speed	Rel AnSpd	
     0.00	 -1347.18	  -540.41	     0.03	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
    79.38	 -1346.51	  -538.99	     0.00	    79.38	     0.67	     1.42	    -0.02	     1.57	    19.79	    -0.29
   119.39	 -1344.42	  -538.96	     0.05	    40.01	     2.09	     0.03	     0.05	     2.09	    52.17	     1.17
   138.52	 -1341.64	  -538.92	     0.05	    19.13	     2.78	     0.04	     0.00	     2.78	   145.43	     0.00
   158.64	 -1338.84	  -540.28	     0.08	    20.12	     2.80	    -1.37	     0.03	     3.12	   155.16	     1.31
   199.91	 -1336.06	  -540.24	     0.12	    41.28	     2.78	     0.04	     0.04	     2.78	    67.40	     1.07
   279.34	 -1320.68	  -544.96	     0.24	    79.43	    15.38	    -4.71	     0.12	    16.09	   202.51	     1.52
   300.11	 -1316.50	  -544.90	     0.25	    20.77	     4.17	     0.06	     0.01	     4.17	   200.87	     0.55
   320.41	 -1311.02	  -539.88	     0.21	    20.30	     5.48	     5.01	    -0.04	     7.43	   365.94	    -1.97
   359.48	 -1306.93	  -534.89	     0.17	    39.06	     4.09	     4.99	    -0.04	     6.45	   165.24	    -0.97
   379.99	 -1301.39	  -533.40	     0.21	    20.51	     5.54	     1.49	     0.03	     5.74	   279.64	     1.51
   400.23	 -1295.79	  -536.14	     0.24	    20.24	     5.61	    -2.74	     0.04	     6.24	   308.26	     1.77
   440.25	 -1290.23	  -536.06	     0.30	    40.02	     5.56	     0.08	     0.06	     5.56	   138.97	     1.39
   460.87	 -1286.15	  -530.36	     0.24	    20.62	     4.08	     5.70	    -0.06	     7.01	   339.83	    -2.69
   481.47	 -1281.31	  -528.88	     0.27	    20.61	     4.84	     1.48	     0.02	     5.06	   245.67	     1.19
   501.47	 -1275.08	  -527.38	     0.25	    20.00	     6.23	     1.50	    -0.02	     6.41	   320.47	    -0.97
   540.42	 -1269.52	  -527.30	     0.29	    38.94	     5.56	     0.08	     0.04	     5.56	   142.77	     1.14
   561.44	 -1264.00	  -524.40	     0.29	    21.02	     5.51	     2.90	     0.00	     6.23	   296.24	     0.00
   602.20	 -1250.16	  -521.38	     0.35	    40.76	    13.85	     3.02	     0.06	    14.18	   347.80	     1.42
   661.61	 -1237.72	  -516.97	     0.37	    59.41	    12.43	     4.41	     0.02	    13.19	   222.08	     0.37
   681.65	 -1232.19	  -515.48	     0.40	    20.05	     5.53	     1.49	     0.03	     5.73	   285.86	     1.71
   702.03	 -1226.68	  -512.58	     0.38	    20.37	     5.51	     2.90	    -0.02	     6.23	   305.63	    -1.02
