     Time	    Pos x	    Pos y	    Angle	Diff Time	Diff Posx	Diff Posy	Diff Angl	Diff Long	Rel Speed	Rel AnSpd	
     0.00	 -1347.18	  -540.41	     0.03	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
    20.56	 -1346.47	  -541.81	     0.03	    20.56	     0.72	    -1.40	    -0.00	     1.57	    76.55	    -0.02
    40.29	 -1342.99	  -541.75	     0.05	    19.73	     3.48	     0.05	     0.02	     3.48	   176.27	     1.26
    58.35	 -1342.99	  -541.75	     0.05	    18.06	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
    78.03	 -1342.99	  -541.75	     0.05	    19.68	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
   100.36	 -1342.99	  -541.75	     0.05	    22.33	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
   121.54	 -1329.03	  -544.37	     0.14	    21.18	    13.96	    -2.62	     0.09	    14.20	   670.32	     4.25
   141.07	 -1329.03	  -544.37	     0.14	    19.53	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
   161.36	 -1329.03	  -544.37	     0.14	    20.29	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
   181.39	 -1329.03	  -544.37	     0.14	    20.03	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
   201.80	 -1306.71	  -548.28	     0.28	    20.41	    22.32	    -3.91	     0.14	    22.66	  1110.03	     6.81
   221.97	 -1299.94	  -537.61	     0.13	    20.17	     6.78	    10.67	    -0.15	    12.64	   626.93	    -7.45
   243.09	 -1288.72	  -543.08	     0.27	    21.12	    11.21	    -5.48	     0.14	    12.48	   590.82	     6.59
   261.80	 -1288.72	  -543.08	     0.27	    18.71	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
   281.79	 -1279.08	  -537.31	     0.20	    19.99	     9.64	     5.78	    -0.07	    11.24	   562.11	    -3.58
   301.85	 -1272.16	  -535.80	     0.25	    20.05	     6.93	     1.51	     0.05	     7.09	   353.51	     2.46
   321.93	 -1261.07	  -533.52	     0.21	    20.09	    11.08	     2.28	    -0.04	    11.31	   563.33	    -1.90
   343.28	 -1261.07	  -533.52	     0.21	    21.35	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
   361.95	 -1251.39	  -530.56	     0.21	    18.67	     9.68	     2.96	     0.00	    10.12	   542.12	     0.00
   381.92	 -1240.29	  -529.69	     0.22	    19.97	    11.10	     0.87	     0.01	    11.14	   557.82	     0.56
   401.85	 -1230.61	  -526.73	     0.25	    19.93	     9.68	     2.96	     0.03	    10.12	   507.78	     1.36
   421.86	 -1218.08	  -527.96	     0.32	    20.01	    12.53	    -1.23	     0.07	    12.59	   629.20	     3.63
   443.19	 -1208.45	  -522.18	     0.26	    21.33	     9.63	     5.78	    -0.06	    11.23	   526.56	    -2.87
   461.96	 -1208.45	  -522.18	     0.26	    18.77	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
   481.99	 -1197.39	  -519.20	     0.22	    20.03	    11.07	     2.98	    -0.03	    11.46	   572.24	    -1.69
   501.86	 -1186.27	  -519.04	     0.31	    19.88	    11.11	     0.16	     0.09	    11.11	   559.17	     4.45
   523.00	 -1175.20	  -516.76	     0.31	    21.14	    11.08	     2.28	     0.00	    11.31	   534.93	     0.11
   542.02	 -1175.20	  -516.76	     0.31	    19.01	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
   561.93	 -1164.14	  -513.07	     0.29	    19.91	    11.05	     3.69	    -0.02	    11.65	   585.20	    -1.21
   582.79	 -1153.03	  -512.91	     0.34	    20.87	    11.11	     0.16	     0.05	    11.11	   532.58	     2.41
   603.45	 -1141.99	  -508.52	     0.33	    20.66	    11.04	     4.39	    -0.01	    11.88	   575.25	    -0.34
   623.23	 -1130.88	  -508.36	     0.38	    19.78	    11.11	     0.16	     0.05	    11.11	   561.90	     2.52
   641.90	 -1130.88	  -508.36	     0.38	    18.67	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
   663.26	 -1119.89	  -501.14	     0.32	    21.36	    10.99	     7.21	    -0.06	    13.15	   615.64	    -3.03
   683.35	 -1108.03	  -503.79	     0.40	    20.09	    11.86	    -2.65	     0.08	    12.15	   604.70	     4.05
   703.35	 -1096.32	  -497.97	     0.35	    20.00	    11.71	     5.81	    -0.05	    13.08	   653.62	    -2.60
   724.56	 -1088.11	  -490.80	     0.34	    21.21	     8.21	     7.17	    -0.01	    10.91	   514.10	    -0.35
   744.09	 -1088.11	  -490.80	     0.34	    19.52	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
   764.38	 -1075.65	  -487.79	     0.33	    20.30	    12.46	     3.01	    -0.01	    12.81	   631.21	    -0.73
   784.42	 -1064.56	  -486.22	     0.36	    20.03	    11.09	     1.58	     0.03	    11.20	   559.28	     1.45
   804.72	 -1052.11	  -482.51	     0.37	    20.31	    12.45	     3.71	     0.01	    12.99	   639.59	     0.61
   826.08	 -1041.03	  -480.22	     0.41	    21.36	    11.08	     2.28	     0.04	    11.31	   529.61	     1.75
   844.24	 -1041.03	  -480.22	     0.41	    18.16	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
   865.51	 -1030.67	  -476.54	     0.40	    21.28	    10.36	     3.68	    -0.01	    11.00	   516.87	    -0.29
   885.58	 -1018.92	  -472.84	     0.40	    20.06	    11.75	     3.70	     0.00	    12.32	   614.30	     0.11
   905.60	 -1009.28	  -467.05	     0.36	    20.02	     9.63	     5.79	    -0.05	    11.24	   561.30	    -2.27
   924.17	 -1009.28	  -467.05	     0.36	    18.58	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
   944.18	  -996.80	  -465.45	     0.42	    20.00	    12.49	     1.60	     0.07	    12.59	   629.42	     3.35
   965.50	  -996.80	  -465.45	     0.42	    21.33	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
   986.06	  -974.72	  -455.23	     0.40	    20.55	    22.08	    10.22	    -0.02	    24.33	  1183.56	    -1.05
  1007.70	  -965.08	  -449.44	     0.36	    21.64	     9.64	     5.79	    -0.05	    11.25	   519.55	    -2.10
  1026.05	  -965.08	  -449.44	     0.36	    18.35	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
  1046.43	  -952.58	  -447.83	     0.42	    20.38	    12.50	     1.61	     0.07	    12.60	   618.30	     3.29
  1068.01	  -941.50	  -444.84	     0.45	    21.58	    11.08	     3.00	     0.02	    11.48	   531.86	     1.08
  1088.02	  -929.77	  -439.01	     0.45	    20.01	    11.73	     5.83	     0.00	    13.10	   654.53	     0.14
  1107.83	  -919.43	  -433.20	     0.42	    19.80	    10.34	     5.81	    -0.03	    11.86	   599.05	    -1.31
  1126.11	  -919.43	  -433.20	     0.42	    18.28	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
  1146.27	  -908.30	  -432.31	     0.47	    20.16	    11.13	     0.88	     0.04	    11.16	   553.55	     2.11
  1167.93	  -898.67	  -425.81	     0.44	    21.66	     9.64	     6.51	    -0.03	    11.63	   536.81	    -1.41
