       File Name		  sp_left		 sp_right		Avg Speed		AvgAngSpd
RW05_06_2017_303		   235.00		   255.00		   225.59		    -0.26
RW05_06_2017_304		   235.00		   255.00		   290.31		    -0.82
RW05_06_2017_305		   235.00		   255.00		   314.79		    -0.27
RW05_06_2017_306		   235.00		   255.00		   138.24		     0.02
RW05_06_2017_307		   235.00		   255.00		   306.28		    -0.05
RW05_06_2017_308		   235.00		   255.00		   357.91		     0.28
RW05_06_2017_309		   255.00		   160.00		  -255.46		     2.29
RW05_06_2017_310		   255.00		   160.00		   159.17		    -0.93
RW05_06_2017_311		   255.00		   160.00		   188.99		    -0.89
RW05_06_2017_312		   255.00		   160.00		   127.56		     0.64
RW05_06_2017_313		   255.00		   160.00		   300.90		    -0.90
RW05_06_2017_314		   255.00		   160.00		   263.79		    -0.91
RW05_06_2017_315		   255.00		   160.00		   205.73		     0.10
RW05_06_2017_316		   255.00		   160.00		   154.72		    -0.63
RW05_06_2017_317		   255.00		   160.00		   160.24		    -0.87
RW05_06_2017_318		   255.00		   160.00		   240.43		    -1.45
RW05_06_2017_319		   255.00		   185.00		   165.36		    -1.05
RW05_06_2017_320		   255.00		   185.00		   284.68		    -0.26
RW05_06_2017_321		   255.00		   185.00		   311.18		    -0.36
RW05_06_2017_322		   255.00		   210.00		   211.97		    -0.03
RW05_06_2017_323		   255.00		   210.00		   327.93		    -0.19
RW05_06_2017_324		   255.00		   210.00		   397.25		    -0.29
RW05_06_2017_325		   235.00		   255.00		  -171.97		    -2.13
RW05_06_2017_326		   255.00		   235.00		   333.96		    -0.10
RW05_06_2017_327		   255.00		   235.00		   304.88		    -1.82
RW05_06_2017_328		   255.00		   235.00		   287.38		    -0.55
RW05_06_2017_329		   255.00		   255.00		   341.30		     0.08
RW05_06_2017_330		   255.00		   255.00		   304.30		    -3.91
RW05_06_2017_331		   255.00		   255.00		   391.31		    -0.16
RW05_06_2017_332		   160.00		   160.00		    72.61		    -0.14
RW05_06_2017_333		   160.00		   160.00		    62.77		     0.31
RW05_06_2017_334		   160.00		   160.00		    28.13		    -1.10
RW05_06_2017_335		   160.00		   160.00		   -59.55		     0.65
RW05_06_2017_336		   160.00		   160.00		   -12.39		    -0.64
RW05_06_2017_337		   160.00		   160.00		     7.44		    -1.85
RW05_06_2017_338		   160.00		   170.00		    42.53		     0.23
RW05_06_2017_339		   160.00		   170.00		    92.09		    -0.51
RW05_06_2017_340		   160.00		   180.00		   213.19		     0.06
RW05_06_2017_341		   160.00		   180.00		   187.83		     0.02
RW05_06_2017_342		   160.00		   180.00		   189.94		     0.75
RW05_06_2017_343		   160.00		   180.00		  -196.93		    -0.13
RW05_06_2017_344		   160.00		   180.00		   -61.34		    -0.92
RW05_06_2017_345		   160.00		   180.00		  -137.48		     0.22
RW05_06_2017_346		   160.00		   180.00		   151.82		     0.60
RW05_06_2017_347		   160.00		   180.00		   197.27		     0.29
RW05_06_2017_348		   160.00		   180.00		    10.62		     4.39
RW05_06_2017_349		   160.00		   180.00		    84.70		     0.29
RW05_06_2017_350		   160.00		   200.00		   220.59		    -0.25
RW05_06_2017_351		   160.00		   200.00		   104.51		     0.40
RW05_06_2017_352		   160.00		   200.00		   209.28		     0.26
RW05_06_2017_353		   160.00		   200.00		   239.53		     0.37
RW05_06_2017_354		   160.00		   200.00		   244.76		     0.35
