   File Name		  sp_left		 sp_right		Avg Speed		AvgAngSpd
31_05_2017_109		  9999.00		  9999.00		  -428.96		     0.45
31_05_2017_110		   210.00		   160.00		   169.42		    -0.38
31_05_2017_111		   160.00		   210.00		    58.77		     1.22
31_05_2017_112		   210.00		   160.00		   157.20		    -0.31
31_05_2017_113		   210.00		   185.00		   307.92		    -0.06
31_05_2017_114		   210.00		   185.00		   300.22		    -0.04
31_05_2017_115		   210.00		   185.00		   215.12		    -0.05
31_05_2017_116		   210.00		   185.00		   221.33		    -0.02
31_05_2017_117		   210.00		   185.00		   250.93		    -0.05
31_05_2017_118		   210.00		   185.00		   197.45		     0.05
31_05_2017_119		   210.00		   185.00		   153.67		    -1.13
31_05_2017_120		   210.00		   185.00		   245.59		    -0.02
31_05_2017_121		  9999.00		  9999.00		  -191.33		     0.58
31_05_2017_122		   210.00		   210.00		   271.27		     0.08
31_05_2017_123		   210.00		   210.00		   231.66		     0.04
31_05_2017_124		   210.00		   210.00		   215.04		     0.06
31_05_2017_125		   210.00		   210.00		   315.94		     0.04
31_05_2017_126		   210.00		   210.00		   370.45		     0.04
31_05_2017_127		  9999.00		  9999.00		   -37.09		     0.06
31_05_2017_128		   210.00		   210.00		   188.37		    -0.01
31_05_2017_129		   210.00		   210.00		   239.06		     0.09
31_05_2017_130		   210.00		   235.00		   424.23		     0.15
31_05_2017_131		  9999.00		  9999.00		  -177.92		     0.21
31_05_2017_132		  9999.00		  9999.00		    74.75		     0.02
31_05_2017_133		   210.00		   235.00		   277.67		     0.10
31_05_2017_134		   210.00		   235.00		   289.46		     0.16
31_05_2017_135		   210.00		   235.00		   315.00		     0.13
31_05_2017_136		   210.00		   235.00		   306.91		     0.13
31_05_2017_137		   210.00		   255.00		   241.83		     0.21
31_05_2017_138		   210.00		   255.00		   383.94		     0.29
31_05_2017_139		   210.00		   255.00		   296.51		     0.30
31_05_2017_140		   210.00		   255.00		   314.85		     0.21
31_05_2017_141		   210.00		   255.00		   270.56		     0.22
31_05_2017_142		   235.00		   160.00		   102.04		    -0.48
31_05_2017_143		   235.00		   160.00		    47.95		    -0.96
31_05_2017_144		   235.00		   160.00		    61.69		    -0.57
31_05_2017_145		   235.00		   160.00		   177.08		    -0.55
31_05_2017_146		   235.00		   170.00		   218.57		    -0.35
31_05_2017_147		   235.00		   160.00		   167.24		    -0.48
31_05_2017_148		   235.00		   160.00		   231.43		    -0.55
31_05_2017_149		   235.00		   160.00		   147.64		    -0.54
31_05_2017_150		   235.00		   160.00		   226.69		    -0.52
31_05_2017_151		   235.00		   160.00		   163.99		    -0.41
31_05_2017_152		   235.00		   160.00		   213.68		    -0.55
31_05_2017_153		   235.00		   160.00		   166.18		    -0.43
31_05_2017_154		   235.00		   185.00		   222.44		    -0.08
31_05_2017_155		   235.00		   185.00		   263.16		    -0.16
31_05_2017_156		   235.00		   185.00		   184.25		    -0.13
31_05_2017_157		   235.00		   185.00		   208.77		    -1.01
31_05_2017_158		   235.00		   185.00		   259.33		    -0.15
31_05_2017_159		   235.00		   210.00		   283.63		    -0.02
31_05_2017_160		   235.00		   210.00		   301.50		    -0.02
31_05_2017_161		   235.00		   210.00		   279.80		    -0.00
31_05_2017_162		  9999.00		  9999.00		   377.72		     0.57
31_05_2017_163		   235.00		   210.00		   319.24		    -0.01
31_05_2017_164		   235.00		   210.00		   273.33		    -0.04
31_05_2017_165		   235.00		   235.00		   217.62		    -0.02
31_05_2017_166		   235.00		   235.00		   343.02		     0.06
31_05_2017_167		   235.00		   235.00		   343.94		     0.05
31_05_2017_168		   235.00		   235.00		   351.46		     0.01
31_05_2017_169		   235.00		   255.00		   327.51		    -0.79
