time 		pos x 		pos y 		angle 		
0.0 		426.35 		843.6 		-1.55 		
0.02 		427.76 		840.83 		-1.58 		
0.04 		427.76 		840.83 		-0.86 		
0.06 		427.76 		840.83 		-1.58 		
0.08 		427.76 		840.83 		-1.58 		
0.1 		414.71 		812.23 		0.78 		
0.12 		426.35 		843.6 		-1.55 		
0.14 		426.34 		844.3 		-1.55 		
0.16 		426.34 		844.3 		-1.55 		
0.18 		427.76 		840.83 		-1.58 		
0.2 		511.96 		837.79 		-3.14 		
0.22 		427.76 		840.83 		-0.66 		
0.24 		414.71 		812.23 		0.7 		
0.26 		414.71 		812.23 		0.7 		
0.28 		426.35 		843.6 		-1.55 		
0.3 		427.76 		840.83 		-1.58 		
0.32 		427.76 		840.83 		-1.63 		
0.34 		426.35 		843.6 		-0.78 		
0.36 		426.35 		843.6 		-0.78 		
0.38 		426.35 		843.6 		-1.55 		
0.4 		427.76 		840.83 		-0.74 		
0.42 		427.75 		842.22 		-0.82 		
0.44 		427.75 		842.22 		-0.82 		
0.46 		426.35 		843.6 		-0.82 		
0.48 		426.35 		843.6 		-0.82 		
0.5 		427.76 		840.83 		-1.58 		
0.52 		427.76 		840.83 		-1.58 		
0.54 		426.35 		843.6 		-1.55 		
0.56 		426.35 		843.6 		-0.82 		
0.58 		426.35 		843.6 		-1.55 		
0.6 		426.35 		843.6 		-0.82 		
0.62 		459.58 		864.64 		-1.09 		
0.64 		459.58 		864.64 		-1.09 		
0.66 		427.75 		842.22 		-0.85 		
0.68 		426.35 		843.6 		-1.55 		
0.7 		427.76 		840.83 		-1.63 		
0.72 		427.76 		840.83 		-0.82 		
0.74 		427.76 		840.83 		-0.82 		
0.76 		414.71 		812.23 		0.53 		
0.78 		427.76 		840.83 		-0.89 		
0.8 		427.76 		840.83 		-1.58 		
0.82 		427.76 		840.83 		-1.58 		
0.84 		414.73 		810.84 		0.27 		
0.86 		426.35 		843.6 		-1.55 		
0.88 		427.75 		842.22 		-1.58 		
0.9 		427.75 		842.22 		-1.58 		
0.92 		427.75 		842.22 		-1.58 		
0.94 		427.75 		842.22 		-1.58 		
0.96 		426.35 		843.6 		-0.69 		
0.98 		427.76 		840.83 		-0.64 		
1.0 		427.76 		840.83 		-1.58 		
1.02 		427.76 		840.83 		-1.58 		
1.04 		416.13 		809.45 		0.01 		
1.06 		427.75 		841.52 		-1.58 		
1.08 		427.76 		840.83 		-1.58 		
1.1 		427.76 		840.83 		-1.58 		
1.12 		426.35 		843.6 		-1.55 		
1.14 		414.73 		810.84 		0.73 		
1.16 		414.73 		810.84 		0.55 		
1.18 		426.35 		843.6 		-1.6 		
1.2 		426.35 		843.6 		-1.6 		
1.22 		427.76 		840.83 		-1.58 		
1.24 		427.76 		840.83 		-0.74 		
1.26 		426.36 		842.21 		-1.55 		
1.28 		414.72 		811.53 		0.74 		
1.3 		414.72 		811.53 		0.74 		
1.32 		427.76 		840.83 		-0.84 		
1.34 		456.27 		841.68 		-2.22 		
1.36 		427.76 		840.83 		-0.68 		
1.38 		427.74 		843.61 		-1.62 		
1.4 		427.74 		843.61 		-1.62 		
1.42 		426.35 		843.6 		-1.55 		
1.44 		427.75 		842.22 		-1.58 		
1.46 		427.04 		843.61 		-1.56 		
1.48 		427.04 		843.61 		-1.56 		
1.5 		427.74 		842.91 		-1.58 		
1.53 		414.71 		812.23 		0.72 		
1.54 		426.35 		843.6 		-1.55 		
1.57 		427.76 		840.83 		-1.58 		
1.58 		427.76 		840.83 		-1.58 		
1.6 		426.35 		843.6 		-1.55 		
1.62 		427.76 		840.83 		-1.58 		
1.64 		426.35 		843.6 		-1.55 		
1.66 		426.35 		843.6 		-1.55 		
1.68 		426.35 		843.6 		-1.55 		
1.7 		426.35 		843.6 		-1.55 		
1.72 		427.76 		840.83 		-0.74 		
1.75 		416.13 		809.45 		0.69 		
1.76 		416.13 		809.45 		0.69 		
1.78 		426.35 		843.6 		-1.55 		
1.8 		426.35 		843.6 		-1.55 		
1.82 		426.35 		843.6 		-1.55 		
1.84 		426.35 		843.6 		-1.6 		
1.86 		426.35 		843.6 		-1.6 		
1.89 		414.72 		812.23 		0.78 		
1.91 		426.35 		843.6 		-1.55 		
1.93 		427.76 		840.83 		-0.6 		
1.95 		425.65 		843.6 		-1.54 		
1.97 		425.65 		843.6 		-1.54 		
1.99 		426.35 		843.6 		-1.55 		
2.01 		426.37 		840.82 		-1.55 		
2.03 		427.76 		840.83 		-1.58 		
2.05 		414.73 		810.84 		0.51 		
2.07 		414.73 		810.84 		0.51 		
2.09 		458.18 		866.02 		-1.08 		
2.11 		427.75 		841.52 		-0.81 		
2.13 		426.35 		843.6 		-0.66 		
2.15 		426.35 		843.6 		-0.66 		
2.17 		427.76 		840.83 		-1.58 		
2.19 		426.35 		843.6 		-1.55 		
2.21 		427.75 		842.22 		-1.58 		
2.23 		427.76 		840.83 		-1.58 		
2.25 		427.76 		840.83 		-1.58 		
2.27 		427.76 		840.83 		-0.73 		
2.29 		426.35 		843.6 		-1.55 		
2.31 		458.15 		870.2 		-1.11 		
2.33 		416.13 		809.45 		0.76 		
2.35 		416.13 		809.45 		0.76 		
2.37 		426.34 		844.3 		-1.58 		
2.39 		427.76 		840.83 		-1.58 		
2.41 		416.14 		808.06 		0.74 		
2.43 		416.14 		808.06 		0.74 		
2.45 		416.12 		810.85 		0.73 		
2.47 		416.12 		810.85 		0.73 		
2.49 		416.12 		810.85 		0.73 		
2.51 		427.76 		840.83 		-0.92 		
2.53 		427.76 		840.83 		-0.92 		
2.55 		426.35 		843.6 		-1.55 		
2.57 		416.12 		810.85 		0.69 		
2.59 		416.13 		809.45 		0.76 		
2.61 		427.76 		840.83 		-1.58 		
2.63 		427.76 		840.83 		-1.58 		
2.65 		426.35 		843.6 		-1.55 		
2.67 		427.73 		844.31 		-1.93 		
2.69 		426.35 		843.6 		-1.55 		
2.71 		427.76 		840.83 		-0.88 		
2.73 		427.76 		840.83 		-0.88 		
2.75 		427.76 		840.83 		-1.63 		
2.77 		425.65 		843.6 		-1.54 		
2.79 		427.76 		840.83 		-1.62 		
2.81 		427.76 		840.83 		-1.62 		
2.83 		426.35 		843.6 		-1.55 		
2.85 		416.14 		808.06 		0.25 		
2.87 		427.76 		840.83 		-1.58 		
2.89 		426.34 		844.3 		-1.93 		
2.91 		426.34 		844.3 		-1.93 		
2.93 		426.35 		843.6 		-0.86 		
2.95 		426.35 		843.6 		-1.55 		
2.97 		427.76 		840.83 		-1.63 		
2.99 		427.76 		840.83 		-1.58 		
3.01 		427.76 		840.83 		-1.58 		
3.03 		426.35 		843.6 		-0.79 		
3.05 		426.34 		844.3 		-1.55 		
3.07 		427.76 		840.83 		-1.58 		
3.09 		427.76 		840.83 		-1.58 		
3.11 		426.35 		843.6 		-0.71 		
3.13 		427.73 		844.31 		-2.05 		
3.15 		427.75 		841.52 		-1.58 		
3.17 		396.01 		793.33 		-0.05 		
3.19 		396.01 		793.33 		-0.05 		
3.21 		427.76 		840.83 		-0.81 		
3.23 		426.35 		843.6 		-0.86 		
3.25 		427.76 		840.83 		-0.8 		
3.27 		427.76 		840.83 		-1.58 		
3.29 		427.76 		840.83 		-1.58 		
3.31 		427.75 		842.22 		-1.58 		
3.33 		426.35 		843.6 		-1.55 		
3.35 		427.76 		840.83 		-0.8 		
3.37 		427.75 		841.52 		-1.58 		
3.39 		427.75 		841.52 		-1.58 		
3.41 		426.35 		843.6 		-1.55 		
3.43 		426.35 		843.6 		-0.9 		
3.45 		427.73 		844.31 		-2.07 		
3.47 		427.76 		840.83 		-1.63 		
3.49 		427.76 		840.83 		-1.63 		
3.51 		416.13 		809.45 		0.77 		
3.53 		427.76 		840.83 		-1.58 		
3.55 		426.35 		843.6 		-1.55 		
3.57 		426.35 		843.6 		-1.55 		
3.59 		416.13 		809.45 		0.75 		
3.61 		426.35 		843.6 		-1.6 		
3.63 		427.76 		840.83 		-1.58 		
3.65 		426.35 		843.6 		-0.64 		
3.67 		426.35 		843.6 		-0.64 		
3.69 		427.75 		842.22 		-0.78 		
3.71 		426.35 		843.6 		-1.55 		
3.73 		427.76 		840.83 		-1.58 		
3.76 		427.76 		840.83 		-1.63 		
3.77 		427.76 		840.83 		-1.63 		
3.79 		426.35 		843.6 		-0.73 		
3.81 		413.31 		813.61 		0.67 		
3.83 		414.71 		812.23 		0.77 		
3.86 		416.13 		809.45 		0.39 		
3.87 		416.13 		809.45 		0.39 		
3.89 		427.77 		839.43 		-1.58 		
3.92 		414.71 		812.23 		0.68 		
3.94 		426.35 		843.6 		-1.6 		
3.95 		426.35 		843.6 		-1.6 		
3.97 		427.75 		841.52 		-0.62 		
3.99 		427.75 		841.52 		-0.62 		
4.01 		427.75 		841.52 		-0.62 		
4.03 		427.75 		841.52 		-0.62 		
4.05 		427.75 		841.52 		-0.62 		
4.07 		427.75 		841.52 		-0.62 		
4.09 		427.75 		841.52 		-0.62 		
4.11 		427.75 		841.52 		-0.62 		
4.13 		427.75 		841.52 		-0.62 		
4.15 		427.75 		841.52 		-0.62 		
4.17 		427.75 		841.52 		-0.62 		
4.19 		414.71 		812.23 		0.74 		
4.22 		426.35 		843.6 		-1.55 		
4.23 		426.35 		843.6 		-1.55 		
4.25 		427.79 		836.65 		-0.83 		
4.27 		427.81 		833.87 		-1.62 		
4.29 		427.84 		829.0 		-1.62 		
4.32 		427.87 		824.13 		-1.62 		
4.33 		427.87 		824.13 		-1.62 		
4.35 		427.87 		824.13 		-1.62 		
4.37 		427.93 		814.39 		-1.62 		
4.39 		426.56 		812.3 		-1.6 		
4.41 		426.56 		812.3 		-1.6 		
4.43 		427.32 		801.86 		-1.61 		
4.45 		426.67 		794.9 		-1.6 		
4.47 		425.29 		792.11 		-1.62 		
4.5 		425.34 		783.76 		-1.62 		
4.51 		425.34 		783.76 		-1.62 		
4.53 		426.78 		776.81 		-1.65 		
4.56 		425.44 		768.45 		-1.67 		
4.58 		411.05 		725.89 		0.17 		
4.6 		411.08 		720.32 		0.75 		
4.61 		411.08 		720.32 		0.75 		
4.63 		422.79 		744.76 		-1.67 		
4.66 		422.85 		735.01 		-1.67 		
4.68 		422.18 		729.44 		-1.7 		
4.7 		421.56 		715.51 		-1.69 		
4.71 		421.56 		715.51 		-1.69 		
4.73 		420.2 		709.93 		-1.67 		
4.76 		418.87 		697.38 		-1.7 		
4.78 		417.5 		693.19 		-1.67 		
4.79 		417.5 		693.19 		-1.67 		
4.82 		417.55 		682.04 		-1.72 		
4.84 		401.71 		640.8 		0.67 		
4.86 		415.54 		666.69 		-1.73 		
4.88 		413.5 		654.13 		-1.7 		
4.9 		413.5 		654.13 		-1.7 		
4.92 		413.55 		643.67 		-1.71 		
4.94 		412.19 		636.69 		-1.72 		
4.96 		409.43 		630.39 		-1.67 		
4.98 		393.55 		587.7 		0.71 		
5.0 		393.55 		587.7 		0.71 		
5.02 		394.28 		580.73 		0.21 		
5.04 		484.38 		544.96 		2.62 		
5.06 		390.85 		561.14 		0.47 		
5.08 		403.34 		582.89 		-1.71 		
5.1 		403.34 		582.89 		-1.71 		
5.12 		404.07 		572.41 		-1.73 		
5.14 		402.0 		568.21 		-1.72 		
5.16 		399.95 		554.92 		-1.7 		
5.18 		399.95 		554.92 		-1.7 		
5.2 		399.95 		554.92 		-1.7 		
5.22 		398.61 		538.13 		-1.72 		
5.24 		397.25 		524.13 		-1.76 		
5.26 		381.29 		485.51 		0.27 		
5.28 		381.29 		485.51 		0.27 		
5.3 		421.82 		476.68 		0.93 		
5.32 		377.12 		471.46 		-0.01 		
5.34 		391.76 		487.69 		-1.76 		
5.36 		391.79 		473.68 		-1.77 		
5.38 		391.79 		473.68 		-1.77 		
5.4 		387.6 		474.35 		-1.68 		
5.42 		387.6 		474.35 		-1.68 		
5.44 		387.6 		474.35 		-1.68 		
5.46 		370.21 		422.31 		0.69 		
5.48 		368.82 		418.08 		0.67 		
5.5 		382.08 		437.85 		-1.72 		
5.52 		382.1 		425.92 		-1.72 		
5.54 		459.83 		361.12 		2.67 		
5.56 		459.83 		361.12 		2.67 		
5.58 		377.93 		406.22 		-1.71 		
5.6 		376.54 		400.59 		-1.68 		
5.62 		360.47 		360.36 		0.66 		
5.64 		359.07 		350.5 		0.66 		
5.66 		359.07 		350.5 		0.66 		
5.68 		373.07 		372.44 		-1.71 		
5.7 		372.37 		360.47 		-1.76 		
5.72 		370.98 		354.12 		-1.72 		
5.74 		369.58 		341.44 		-1.76 		
5.76 		369.58 		341.44 		-1.76 		
5.78 		366.78 		336.48 		-1.7 		
5.8 		366.78 		324.5 		-1.77 		
5.82 		366.78 		314.63 		-1.76 		
5.84 		366.78 		314.63 		-1.76 		
5.86 		363.98 		306.14 		-1.76 		
5.88 		362.58 		300.48 		-1.72 		
5.9 		362.58 		300.48 		-1.72 		
5.92 		362.58 		300.48 		-1.72 		
5.94 		358.36 		283.5 		-1.71 		
5.96 		358.35 		269.37 		-1.77 		
5.98 		355.54 		265.81 		-1.7 		
6.01 		340.75 		226.02 		0.22 		
