     time	    pos x	    pos y	    angle	 difftime	 diffposx	 diffposy	 diffangl	 difflong	 relspeed	
    0.000	    0.000	  529.270	    0.017	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
   17.218	   17.200	  530.653	   -0.005	   17.218	   17.200	    1.383	   -0.022	   17.255	 1002.170
   37.203	   37.200	  530.653	   -0.005	   19.985	   20.000	    0.000	    0.000	   20.000	 1000.753
   57.891	   57.900	  529.270	    0.017	   20.688	   20.700	   -1.383	    0.022	   20.746	 1002.807
   77.048	   77.000	  529.270	    0.017	   19.157	   19.100	    0.000	    0.000	   19.100	  997.028
   97.451	   97.500	  530.653	   -0.005	   20.403	   20.500	    1.383	   -0.022	   20.547	 1007.041
  119.164	  119.200	  529.270	    0.017	   21.713	   21.700	   -1.382	    0.022	   21.744	 1001.426
  139.352	  139.400	  530.653	   -0.005	   20.188	   20.200	    1.382	   -0.022	   20.247	 1002.930
  159.341	  159.300	  529.270	    0.017	   19.989	   19.900	   -1.382	    0.022	   19.948	  997.946
  177.938	  177.900	  529.270	    0.017	   18.597	   18.600	    0.000	    0.000	   18.600	 1000.167
  198.381	  198.400	  530.644	   -0.004	   20.443	   20.500	    1.373	   -0.022	   20.546	 1005.037
  218.243	  218.200	  530.644	   -0.004	   19.862	   19.800	    0.000	    0.000	   19.800	  996.870
  237.052	  237.100	  530.653	   -0.005	   18.809	   18.900	    0.009	   -0.000	   18.900	 1004.847
  259.108	  259.100	  529.270	    0.017	   22.056	   22.000	   -1.382	    0.022	   22.043	  999.424
  277.316	  277.300	  529.270	    0.017	   18.208	   18.200	    0.000	    0.000	   18.200	  999.559
  298.887	  298.900	  530.644	   -0.004	   21.571	   21.600	    1.373	   -0.022	   21.644	 1003.370
  318.787	  318.800	  529.261	    0.017	   19.900	   19.900	   -1.382	    0.022	   19.948	 1002.405
  339.494	  339.500	  529.270	    0.017	   20.707	   20.700	    0.009	    0.000	   20.700	  999.667
  357.151	  357.200	  529.270	    0.017	   17.657	   17.700	    0.000	    0.000	   17.700	 1002.434
  377.370	  377.400	  529.261	    0.017	   20.219	   20.200	   -0.009	   -0.000	   20.200	  999.055
  397.625	  397.600	  529.270	    0.017	   20.255	   20.200	    0.009	    0.000	   20.200	  997.293
  418.636	  418.600	  530.653	   -0.005	   21.011	   21.000	    1.382	   -0.022	   21.045	 1001.634
  440.124	  440.100	  529.270	    0.017	   21.488	   21.500	   -1.382	    0.022	   21.544	 1002.627
  458.511	  458.500	  529.270	    0.017	   18.387	   18.400	    0.000	    0.000	   18.400	 1000.702
  478.212	  478.200	  529.270	    0.017	   19.701	   19.700	    0.000	    0.000	   19.700	  999.950
  498.263	  498.300	  529.270	    0.017	   20.051	   20.100	    0.000	    0.000	   20.100	 1002.441
  518.174	  518.200	  529.261	    0.017	   19.911	   19.900	   -0.009	   -0.000	   19.900	  999.458
  539.386	  539.400	  529.270	    0.017	   21.212	   21.200	    0.009	    0.000	   21.200	  999.430
  558.084	  558.100	  529.270	    0.017	   18.698	   18.700	    0.000	    0.000	   18.700	 1000.108
  579.185	  579.200	  529.270	    0.017	   21.101	   21.100	    0.000	   -0.000	   21.100	  999.954
  599.646	  599.600	  529.261	    0.017	   20.461	   20.400	   -0.009	   -0.000	   20.400	  997.014
  619.919	  619.900	  529.270	    0.017	   20.273	   20.300	    0.009	    0.000	   20.300	 1001.334
  640.836	  640.800	  529.270	    0.017	   20.917	   20.900	   -0.000	    0.000	   20.900	  999.189
  658.093	  658.100	  529.270	    0.017	   17.257	   17.300	    0.000	    0.000	   17.300	 1002.493
  678.319	  678.300	  529.261	    0.017	   20.226	   20.200	   -0.009	   -0.000	   20.200	  998.715
  701.147	  701.100	  527.888	    0.039	   22.828	   22.800	   -1.373	    0.022	   22.841	 1000.578
  720.972	  721.000	  529.270	    0.017	   19.825	   19.900	    1.383	   -0.022	   19.948	 1006.207
  738.118	  738.100	  529.270	    0.017	   17.146	   17.100	    0.000	    0.000	   17.100	  997.323
  758.346	  758.300	  530.653	   -0.005	   20.228	   20.200	    1.382	   -0.022	   20.247	 1000.945
  778.467	  778.500	  529.270	    0.017	   20.121	   20.200	   -1.382	    0.022	   20.247	 1006.282
  798.854	  798.900	  530.653	   -0.005	   20.387	   20.400	    1.382	   -0.022	   20.447	 1002.923
  821.576	  821.600	  530.644	   -0.004	   22.722	   22.700	   -0.009	    0.000	   22.700	  999.030
  838.522	  838.500	  530.644	   -0.004	   16.946	   16.900	    0.000	    0.000	   16.900	  997.295
  858.732	  858.700	  530.653	   -0.005	   20.210	   20.200	    0.009	   -0.000	   20.200	  999.505
    0.000	    0.000	    0.000	    0.000	  858.732	  858.700	    1.383	   -0.022	  859.489	43037.367
