     time	    pos x	    pos y	    angle	 difftime	 diffposx	 diffposy	 diffangl	 difflong	 relspeed	
     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
     0.10	   663.33	  -673.62	     0.01	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
     0.12	   663.33	  -673.62	     0.01	     0.02	     0.00	     0.00	    -0.00	    -0.00	    -0.00
     0.14	   663.33	  -673.62	     0.01	     0.02	     0.00	     0.00	     0.00	    -0.00	    -0.00
     0.16	   663.33	  -673.62	     0.01	     0.02	     0.00	     0.00	     0.00	    -0.00	    -0.00
     0.18	   663.33	  -673.62	     0.01	     0.02	     0.00	     0.00	    -0.00	    -0.00	    -0.00
     0.20	   663.33	  -673.62	     0.01	     0.02	     0.00	     0.00	     0.00	    -0.00	    -0.00
     0.22	   663.33	  -673.62	     0.01	     0.02	     0.00	     0.00	     0.00	    -0.00	    -0.00
     0.24	   663.33	  -673.62	     0.01	     0.02	     0.00	     0.00	     0.00	    -0.00	    -0.00
     0.26	   663.33	  -673.62	     0.01	     0.02	     0.00	     0.00	     0.00	    -0.00	    -0.00
     0.28	   663.33	  -673.62	     0.01	     0.02	     0.00	     0.00	     0.00	    -0.00	    -0.00
     0.30	   663.33	  -673.62	     0.01	     0.02	     0.00	     0.00	     0.00	    -0.00	    -0.00
     0.32	   663.33	  -673.62	     0.01	     0.02	     0.00	     0.00	    -0.00	    -0.00	    -0.00
     0.34	   663.33	  -673.62	     0.01	     0.02	     0.00	     0.00	     0.00	    -0.00	    -0.00
     0.36	   663.33	  -673.62	     0.01	     0.02	     0.00	     0.00	     0.00	    -0.00	    -0.00
     0.38	   663.33	  -673.62	     0.01	     0.02	     0.00	     0.00	     0.00	    -0.00	    -0.00
     0.40	   663.33	  -673.62	     0.01	     0.02	     0.00	     0.00	     0.00	    -0.00	    -0.00
     0.42	   663.33	  -673.62	     0.01	     0.02	     0.00	     0.00	     0.00	    -0.00	    -0.00
     0.44	   663.33	  -673.62	     0.01	     0.02	     0.00	     0.00	     0.00	    -0.00	    -0.00
     0.46	   663.33	  -673.62	     0.01	     0.02	     0.00	     0.00	    -0.00	    -0.00	    -0.00
     0.48	   663.33	  -673.62	     0.01	     0.02	     0.00	     0.00	     0.00	    -0.00	    -0.00
     0.50	   663.33	  -673.62	     0.01	     0.02	     0.00	     0.00	     0.00	    -0.00	    -0.00
     0.52	   663.33	  -673.62	     0.01	     0.02	     0.00	     0.00	     0.00	    -0.00	    -0.00
     0.54	   663.33	  -673.62	     0.01	     0.02	     0.00	     0.00	    -0.00	    -0.00	    -0.00
     0.56	   663.33	  -673.62	     0.01	     0.02	     0.00	     0.00	     0.00	    -0.00	    -0.00
     0.58	   663.33	  -673.62	     0.01	     0.02	     0.00	     0.00	     0.00	    -0.00	    -0.00
     0.60	   663.33	  -673.62	     0.01	     0.02	     0.00	     0.00	     0.00	    -0.00	    -0.00
     0.62	   663.33	  -673.62	     0.01	     0.02	     0.00	     0.00	     0.00	    -0.00	    -0.00
     0.64	   663.33	  -673.62	     0.01	     0.02	     0.00	     0.00	     0.00	    -0.00	    -0.00
     0.66	   663.33	  -673.62	     0.01	     0.02	     0.00	     0.00	     0.00	    -0.00	    -0.00
     0.68	   663.33	  -673.62	     0.01	     0.02	     0.00	     0.00	     0.00	    -0.00	    -0.00
     0.71	   663.33	  -673.62	     0.01	     0.02	     0.00	     0.00	     0.00	    -0.00	    -0.00
     0.72	   663.33	  -673.62	     0.01	     0.02	     0.00	     0.00	     0.00	    -0.00	    -0.00
     0.74	   663.33	  -675.01	     0.03	     0.02	    -0.00	    -1.39	     0.02	    -1.39	   -69.11
     0.76	   663.33	  -673.62	     0.01	     0.02	     0.00	     1.39	    -0.02	     1.39	    67.71
     0.79	   663.33	  -673.62	     0.01	     0.02	     0.00	     0.00	     0.00	    -0.00	    -0.00
     0.81	   663.33	  -673.62	     0.01	     0.02	     0.00	     0.00	     0.00	    -0.00	    -0.00
     0.82	   663.33	  -673.62	     0.01	     0.02	     0.00	     0.00	     0.00	    -0.00	    -0.00
     0.84	   663.33	  -673.62	     0.01	     0.02	     0.00	     0.00	     0.00	    -0.00	    -0.00
     0.86	   663.33	  -673.62	     0.01	     0.02	     0.00	     0.00	     0.00	    -0.00	    -0.00
     0.89	   663.33	  -673.62	     0.01	     0.02	     0.00	     0.00	     0.00	    -0.00	    -0.00
     0.90	   663.33	  -673.62	     0.01	     0.02	     0.00	     0.00	     0.00	    -0.00	    -0.00
     0.92	   663.33	  -673.62	     0.01	     0.02	     0.00	     0.00	     0.00	    -0.00	    -0.00
     0.94	   663.33	  -673.62	     0.01	     0.02	     0.00	     0.00	     0.00	    -0.00	    -0.00
     0.96	   663.33	  -673.62	     0.01	     0.02	     0.00	     0.00	     0.00	    -0.00	    -0.00
     0.99	   663.33	  -673.62	     0.01	     0.02	     0.00	     0.00	     0.00	    -0.00	    -0.00
     1.00	   663.33	  -673.62	     0.01	     0.02	     0.00	     0.00	     0.00	    -0.00	    -0.00
     1.02	   663.33	  -673.62	     0.01	     0.02	     0.00	     0.00	     0.00	    -0.00	    -0.00
     0.00	     0.00	     0.00	     0.00	     0.92	     0.00	     0.00	     0.00	     0.00	    -1.41
