     Time	    Pos x	    Pos y	    Angle	Diff Time	Diff Posx	Diff Posy	Diff Angl	Diff Long	Rel Speed	Rel AnSpd	
     0.00	 -1345.77	  -541.79	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
    19.92	 -1347.18	  -540.41	    -0.02	    19.92	    -1.41	     1.38	    -0.02	     1.97	   -99.04	    -1.00
   111.24	 -1346.49	  -540.40	    -0.02	    91.32	     0.69	     0.01	     0.00	     0.69	     7.56	     0.00
   117.73	 -1345.75	  -543.21	     0.05	     6.49	     0.74	    -2.81	     0.07	     2.91	   447.74	    10.79
   139.77	 -1344.38	  -541.78	     0.05	    22.04	     1.37	     1.43	     0.00	     1.98	    89.85	     0.00
   243.49	 -1320.71	  -542.84	     0.12	   103.72	    23.67	    -1.06	     0.07	    23.69	   228.44	     0.67
   321.30	 -1297.17	  -536.86	     0.09	    77.81	    23.54	     5.98	    -0.03	    24.29	   312.14	    -0.39
   360.59	 -1288.77	  -540.27	     0.19	    39.29	     8.40	    -3.41	     0.10	     9.07	   230.74	     2.55
   380.86	 -1277.60	  -542.92	     0.27	    20.27	    11.17	    -2.65	     0.08	    11.48	   566.36	     3.95
   422.57	 -1259.70	  -532.79	     0.16	    41.71	    17.90	    10.13	    -0.11	    20.57	   493.11	    -2.64
   460.63	 -1248.58	  -532.63	     0.21	    38.06	    11.12	     0.16	     0.05	    11.12	   292.20	     1.31
   481.59	 -1240.29	  -529.69	     0.20	    20.96	     8.29	     2.94	    -0.01	     8.80	   419.65	    -0.48
   522.43	 -1218.08	  -527.96	     0.26	    40.84	    22.21	     1.73	     0.06	    22.28	   545.48	     1.47
   561.11	 -1205.56	  -529.19	     0.30	    38.68	    12.52	    -1.23	     0.04	    12.58	   325.24	     1.03
   602.60	 -1184.18	  -519.71	     0.24	    41.49	    21.38	     9.48	    -0.06	    23.39	   563.69	    -1.45
   640.95	 -1174.49	  -517.46	     0.25	    38.35	     9.69	     2.25	     0.01	     9.95	   259.39	     0.26
   662.20	 -1164.12	  -514.48	     0.27	    21.25	    10.37	     2.98	     0.02	    10.79	   507.75	     0.94
   682.37	 -1151.64	  -512.89	     0.32	    20.17	    12.48	     1.59	     0.05	    12.58	   623.74	     2.48
   702.65	 -1141.99	  -508.52	     0.26	    20.28	     9.65	     4.37	    -0.06	    10.59	   522.36	    -2.96
   740.46	 -1129.51	  -506.93	     0.32	    37.81	    12.48	     1.59	     0.06	    12.58	   332.74	     1.59
   760.53	 -1119.81	  -505.37	     0.30	    20.07	     9.70	     1.56	    -0.02	     9.82	   489.52	    -1.00
   782.15	 -1108.77	  -500.98	     0.31	    21.62	    11.04	     4.39	     0.01	    11.88	   549.53	     0.46
   802.25	 -1097.66	  -500.81	     0.32	    20.10	    11.11	     0.17	     0.01	    11.11	   552.80	     0.50
   840.54	 -1083.84	  -496.38	     0.34	    38.29	    13.82	     4.43	     0.02	    14.51	   379.02	     0.52
   861.39	 -1075.58	  -492.02	     0.28	    20.85	     8.26	     4.36	    -0.06	     9.34	   447.97	    -2.88
   882.21	 -1062.45	  -487.60	     0.30	    20.82	    13.13	     4.42	     0.02	    13.85	   665.42	     0.96
   920.48	 -1052.08	  -484.62	     0.33	    38.27	    10.37	     2.98	     0.03	    10.79	   281.94	     0.78
   940.81	 -1038.92	  -481.60	     0.33	    20.33	    13.16	     3.02	     0.00	    13.50	   664.15	     0.00
   961.37	 -1029.96	  -477.24	     0.33	    20.56	     8.96	     4.36	     0.00	     9.96	   484.65	     0.00
   982.37	 -1018.92	  -472.84	     0.31	    21.00	    11.04	     4.40	    -0.02	    11.88	   565.93	    -0.95
  1020.56	 -1006.47	  -469.12	     0.34	    38.19	    12.45	     3.72	     0.03	    12.99	   340.24	     0.79
  1040.91	  -995.32	  -470.36	     0.42	    20.35	    11.15	    -1.24	     0.08	    11.22	   551.29	     3.93
  1061.17	  -982.94	  -462.41	     0.37	    20.26	    12.38	     7.95	    -0.05	    14.71	   726.20	    -2.47
  1100.58	  -973.25	  -459.44	     0.41	    39.41	     9.69	     2.97	     0.04	    10.13	   257.17	     1.01
  1120.92	  -960.81	  -455.02	     0.39	    20.34	    12.44	     4.42	    -0.02	    13.20	   649.06	    -0.98
  1141.18	  -952.51	  -452.07	     0.38	    20.26	     8.30	     2.95	    -0.01	     8.81	   434.78	    -0.49
  1162.26	  -940.73	  -449.06	     0.41	    21.08	    11.78	     3.01	     0.03	    12.16	   576.78	     1.42
  1201.45	  -932.46	  -444.70	     0.39	    39.19	     8.27	     4.36	    -0.02	     9.35	   238.55	    -0.51
  1222.27	  -923.47	  -441.03	     0.38	    20.82	     8.99	     3.67	    -0.01	     9.71	   466.39	    -0.48
  1263.67	  -906.85	  -435.82	     0.43	    41.40	    16.62	     5.21	     0.05	    17.42	   420.71	     1.21
  1301.92	  -899.93	  -432.89	     0.41	    38.25	     6.92	     2.93	    -0.02	     7.51	   196.46	    -0.52
  1322.71	  -895.12	  -429.28	     0.39	    20.79	     4.81	     3.61	    -0.02	     6.01	   289.27	    -0.96
  1342.61	  -887.50	  -427.04	     0.39	    19.90	     7.62	     2.24	     0.00	     7.94	   399.12	     0.00
  1362.97	  -881.97	  -424.13	     0.41	    20.36	     5.53	     2.91	     0.02	     6.25	   306.92	     0.98
  1402.48	  -874.98	  -425.43	     0.49	    39.51	     6.99	    -1.30	     0.08	     7.11	   179.95	     2.02
