     Time	    Pos x	    Pos y	    Angle	Diff Time	Diff Posx	Diff Posy	Diff Angl	Diff Long	Rel Speed	Rel AnSpd	
     0.00	 -1347.18	  -540.41	     0.03	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
    24.24	 -1344.40	  -540.37	     0.03	    24.24	     2.78	     0.04	    -0.00	     2.78	   114.78	    -0.02
    44.08	 -1344.40	  -540.37	     0.03	    19.84	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
    61.71	 -1336.06	  -540.24	     0.00	    17.62	     8.35	     0.12	    -0.02	     8.35	   473.59	    -1.28
    80.38	 -1330.49	  -540.16	     0.03	    18.67	     5.56	     0.08	     0.02	     5.56	   297.98	     1.24
   101.13	 -1326.32	  -540.10	     0.03	    20.75	     4.17	     0.06	    -0.00	     4.17	   201.08	    -0.01
   120.92	 -1318.67	  -539.99	     0.03	    19.79	     7.65	     0.11	     0.00	     7.65	   386.49	     0.02
   141.66	 -1313.80	  -539.92	     0.03	    20.74	     4.87	     0.07	    -0.00	     4.87	   234.65	    -0.03
   163.43	 -1306.83	  -541.23	     0.05	    21.77	     6.98	    -1.31	     0.02	     7.10	   325.99	     1.07
   181.12	 -1306.83	  -541.23	     0.05	    17.69	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
   202.85	 -1306.83	  -541.23	     0.05	    21.72	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
   220.88	 -1306.83	  -541.23	     0.05	    18.03	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
   240.85	 -1306.83	  -541.23	     0.05	    19.98	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
   262.00	 -1284.61	  -539.50	     0.03	    21.15	    22.22	     1.73	    -0.02	    22.29	  1053.97	    -1.10
   281.30	 -1284.61	  -539.50	     0.03	    19.30	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
   302.88	 -1274.88	  -539.36	     0.03	    21.58	     9.73	     0.14	     0.00	     9.73	   450.80	     0.00
   323.17	 -1258.20	  -539.12	     0.03	    20.29	    16.68	     0.24	    -0.00	    16.68	   822.00	    -0.01
   343.21	 -1247.06	  -540.37	     0.05	    20.03	    11.14	    -1.25	     0.02	    11.21	   559.59	     1.22
   361.21	 -1247.06	  -540.37	     0.05	    18.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
   380.81	 -1247.06	  -540.37	     0.05	    19.60	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
   401.27	 -1247.06	  -540.37	     0.05	    20.46	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
   421.47	 -1247.06	  -540.37	     0.05	    20.20	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
   440.98	 -1247.06	  -540.37	     0.05	    19.51	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
