     Time	    Pos x	    Pos y	    Angle	Diff Time	Diff Posx	Diff Posy	Diff Angl	Diff Long	Rel Speed	Rel AnSpd	
     0.00	 -1347.18	  -540.41	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
    20.37	 -1341.62	  -540.33	     0.03	    20.37	     5.56	     0.08	     0.02	     5.56	   273.13	     1.13
    41.30	 -1341.62	  -540.33	     0.03	    20.93	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
    59.98	 -1341.62	  -540.33	     0.03	    18.68	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
    81.51	 -1334.56	  -546.57	     0.12	    21.53	     7.06	    -6.24	     0.10	     9.42	   437.63	     4.55
   100.86	 -1329.02	  -545.08	     0.16	    19.35	     5.54	     1.49	     0.03	     5.74	   296.56	     1.76
   120.05	 -1329.02	  -545.08	     0.16	    19.19	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
   140.40	 -1316.57	  -540.67	     0.09	    20.35	    12.45	     4.41	    -0.07	    13.21	   648.98	    -3.60
   160.45	 -1312.40	  -540.61	     0.12	    20.05	     4.17	     0.06	     0.04	     4.17	   208.03	     1.95
   180.51	 -1312.40	  -540.61	     0.12	    20.06	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
   200.36	 -1303.99	  -544.72	     0.23	    19.85	     8.41	    -4.11	     0.10	     9.36	   471.70	     5.25
   220.45	 -1298.50	  -540.41	     0.15	    20.10	     5.49	     4.31	    -0.08	     6.98	   347.38	    -4.11
   240.49	 -1288.68	  -545.90	     0.29	    20.04	     9.82	    -5.50	     0.14	    11.26	   561.66	     7.21
   261.40	 -1283.28	  -535.96	     0.15	    20.91	     5.40	     9.95	    -0.14	    11.32	   541.23	    -6.77
   280.45	 -1283.28	  -535.96	     0.15	    19.05	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
   301.23	 -1273.55	  -535.82	     0.19	    20.78	     9.73	     0.14	     0.04	     9.73	   468.35	     2.12
   321.24	 -1266.58	  -537.12	     0.22	    20.01	     6.97	    -1.31	     0.03	     7.09	   354.53	     1.54
   341.92	 -1258.24	  -537.00	     0.26	    20.68	     8.34	     0.12	     0.03	     8.34	   403.23	     1.64
   362.51	 -1248.56	  -534.04	     0.27	    20.59	     9.68	     2.96	     0.02	    10.12	   491.75	     0.81
   380.40	 -1248.56	  -534.04	     0.27	    17.89	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
   401.43	 -1240.98	  -529.70	     0.20	    21.03	     7.57	     4.34	    -0.08	     8.73	   414.96	    -3.58
   421.56	 -1230.59	  -528.14	     0.23	    20.14	    10.40	     1.56	     0.03	    10.51	   522.14	     1.72
   441.94	 -1223.62	  -529.45	     0.31	    20.37	     6.97	    -1.31	     0.07	     7.09	   348.12	     3.54
   460.75	 -1223.62	  -529.45	     0.31	    18.81	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
   481.10	 -1215.35	  -525.10	     0.27	    20.35	     8.27	     4.35	    -0.04	     9.34	   459.01	    -1.83
   501.18	 -1204.17	  -529.17	     0.38	    20.09	    11.19	    -4.07	     0.12	    11.90	   592.49	     5.73
   522.53	 -1197.39	  -519.20	     0.27	    21.35	     6.78	     9.97	    -0.12	    12.06	   564.79	    -5.39
   542.70	 -1187.00	  -516.93	     0.31	    20.17	    10.38	     2.27	     0.04	    10.63	   526.73	     2.12
   560.69	 -1187.00	  -516.93	     0.31	    17.99	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
   582.03	 -1178.01	  -514.69	     0.30	    21.33	     8.99	     2.25	    -0.01	     9.27	   434.53	    -0.68
   602.02	 -1168.35	  -511.02	     0.31	    19.99	     9.66	     3.67	     0.01	    10.34	   517.02	     0.56
   622.17	 -1158.60	  -512.29	     0.37	    20.16	     9.75	    -1.27	     0.06	     9.83	   487.66	     2.85
   642.45	 -1148.98	  -505.80	     0.36	    20.27	     9.62	     6.49	    -0.01	    11.60	   572.06	    -0.46
   660.75	 -1148.98	  -505.80	     0.36	    18.31	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
   681.99	 -1139.28	  -504.25	     0.36	    21.24	     9.70	     1.55	     0.01	     9.82	   462.48	     0.30
   702.70	 -1129.61	  -501.29	     0.37	    20.71	     9.67	     2.96	     0.01	    10.12	   488.67	     0.38
   722.00	 -1129.61	  -501.29	     0.37	    19.30	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
   741.10	 -1121.32	  -498.34	     0.38	    19.10	     8.29	     2.94	     0.01	     8.79	   460.37	     0.70
   761.10	 -1110.26	  -495.36	     0.42	    20.00	    11.06	     2.98	     0.04	    11.46	   572.95	     1.92
   781.36	 -1103.39	  -491.03	     0.38	    20.26	     6.87	     4.33	    -0.05	     8.12	   401.07	    -2.28
   802.26	 -1092.35	  -486.63	     0.39	    20.90	    11.04	     4.39	     0.01	    11.88	   568.46	     0.53
   822.26	 -1084.07	  -482.98	     0.39	    20.00	     8.27	     3.65	    -0.00	     9.04	   452.17	    -0.04
   841.76	 -1084.07	  -482.98	     0.39	    19.49	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
   861.12	 -1072.96	  -482.82	     0.47	    19.36	    11.11	     0.17	     0.08	    11.12	   574.04	     4.05
   881.10	 -1061.93	  -477.72	     0.47	    19.98	    11.03	     5.10	     0.01	    12.15	   608.23	     0.48
   901.64	 -1053.66	  -473.36	     0.50	    20.54	     8.26	     4.36	     0.02	     9.34	   454.81	     1.01
   922.92	 -1045.44	  -466.89	     0.40	    21.29	     8.23	     6.47	    -0.09	    10.47	   491.75	    -4.33
