     Time	    Pos x	    Pos y	    Angle	Diff Time	Diff Posx	Diff Posy	Diff Angl	Diff Long	Rel Speed	Rel AnSpd	
     0.00	 -1347.23	  -537.59	     0.03	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
    19.62	 -1345.84	  -537.57	     0.03	    19.62	     1.39	     0.02	     0.00	     1.39	    70.85	     0.00
    60.99	 -1344.47	  -536.14	     0.00	    41.37	     1.37	     1.43	    -0.03	     1.98	    47.87	    -0.73
    99.65	 -1344.45	  -537.55	     0.03	    38.66	     0.02	    -1.41	     0.03	     1.41	   -36.48	     0.78
   120.59	 -1343.01	  -540.34	     0.07	    20.94	     1.44	    -2.79	     0.04	     3.14	   149.94	     1.91
   140.81	 -1341.66	  -537.51	     0.03	    20.22	     1.35	     2.83	    -0.04	     3.14	   155.07	    -1.98
   202.27	 -1338.88	  -537.47	     0.03	    61.46	     2.78	     0.04	     0.00	     2.78	    45.24	     0.00
   222.51	 -1336.10	  -537.43	     0.08	    20.24	     2.78	     0.04	     0.05	     2.78	   137.37	     2.47
   342.59	 -1324.97	  -537.26	     0.07	   120.08	    11.13	     0.17	    -0.01	    11.13	    92.70	    -0.08
   424.20	 -1313.87	  -535.69	     0.05	    81.61	    11.10	     1.57	    -0.02	    11.21	   137.37	    -0.25
   502.65	 -1304.13	  -536.26	     0.11	    78.45	     9.74	    -0.57	     0.06	     9.76	   124.37	     0.76
   522.73	 -1299.97	  -535.49	     0.10	    20.08	     4.16	     0.77	    -0.01	     4.23	   210.69	    -0.50
   582.73	 -1291.63	  -535.37	     0.10	    60.00	     8.34	     0.12	     0.00	     8.34	   139.01	     0.00
   624.41	 -1284.55	  -543.02	     0.22	    41.68	     7.08	    -7.65	     0.12	    10.42	   250.08	     2.88
   662.63	 -1280.53	  -533.80	     0.12	    38.22	     4.02	     9.22	    -0.10	    10.06	   263.17	    -2.62
   682.66	 -1276.33	  -535.86	     0.16	    20.03	     4.20	    -2.06	     0.04	     4.68	   233.55	     2.00
   703.46	 -1272.16	  -535.80	     0.15	    20.80	     4.17	     0.06	    -0.01	     4.17	   200.50	    -0.48
   805.01	 -1254.00	  -541.17	     0.25	   101.55	    18.16	    -5.37	     0.10	    18.94	   186.48	     0.98
   825.10	 -1249.88	  -538.29	     0.20	    20.09	     4.12	     2.88	    -0.05	     5.03	   250.21	    -2.49
   906.18	 -1236.04	  -534.57	     0.19	    81.08	    13.84	     3.72	    -0.01	    14.33	   176.75	    -0.12
   925.92	 -1233.30	  -532.41	     0.15	    19.74	     2.74	     2.16	    -0.04	     3.49	   176.75	    -2.03
   964.18	 -1227.76	  -530.92	     0.18	    38.26	     5.54	     1.49	     0.03	     5.74	   149.94	     0.78
  1024.18	 -1219.35	  -535.03	     0.24	    60.00	     8.41	    -4.11	     0.06	     9.36	   156.01	     1.00
  1045.18	 -1215.26	  -530.74	     0.21	    21.00	     4.09	     4.29	    -0.03	     5.93	   282.25	    -1.43
  1085.99	 -1211.09	  -530.68	     0.22	    40.81	     4.17	     0.06	     0.01	     4.17	   102.19	     0.25
  1186.80	 -1186.04	  -533.13	     0.33	   100.81	    25.05	    -2.45	     0.11	    25.17	   249.67	     1.09
  1206.95	 -1183.35	  -527.46	     0.19	    20.15	     2.69	     5.67	    -0.14	     6.28	   311.45	    -6.95
  1247.45	 -1177.76	  -529.49	     0.25	    40.50	     5.59	    -2.03	     0.06	     5.95	   146.84	     1.48
  1268.02	 -1172.14	  -532.93	     0.33	    20.57	     5.62	    -3.44	     0.08	     6.59	   320.33	     3.89
  1327.55	 -1163.91	  -527.17	     0.26	    59.53	     8.23	     5.76	    -0.07	    10.05	   168.75	    -1.18
  1347.77	 -1158.32	  -528.50	     0.29	    20.22	     5.59	    -1.33	     0.03	     5.75	   284.18	     1.48
  1367.68	 -1154.25	  -522.80	     0.22	    19.91	     4.07	     5.70	    -0.07	     7.00	   351.78	    -3.52
  1387.77	 -1149.30	  -528.37	     0.30	    20.09	     4.95	    -5.57	     0.08	     7.45	   370.91	     3.98
  1427.83	 -1144.48	  -525.48	     0.29	    40.06	     4.82	     2.89	    -0.01	     5.62	   140.29	    -0.25
  1447.85	 -1140.43	  -518.37	     0.22	    20.02	     4.05	     7.11	    -0.07	     8.18	   408.72	    -3.50
  1468.39	 -1134.88	  -518.29	     0.23	    20.54	     5.55	     0.08	     0.01	     5.55	   270.23	     0.49
  1489.23	 -1132.10	  -518.25	     0.22	    20.84	     2.78	     0.04	    -0.01	     2.78	   133.41	    -0.48
  1529.05	 -1126.57	  -516.75	     0.22	    39.82	     5.53	     1.50	     0.00	     5.73	   143.89	     0.00
  1549.12	 -1122.35	  -519.51	     0.29	    20.07	     4.22	    -2.76	     0.07	     5.04	   251.24	     3.49
  1569.06	 -1118.28	  -513.81	     0.20	    19.94	     4.07	     5.70	    -0.09	     7.00	   351.25	    -4.51
  1590.80	 -1112.70	  -515.14	     0.26	    21.74	     5.58	    -1.33	     0.06	     5.74	   263.86	     2.76
  1629.44	 -1107.12	  -516.47	     0.26	    38.64	     5.58	    -1.33	     0.00	     5.74	   148.46	     0.00
  1650.15	 -1103.05	  -510.77	     0.18	    20.71	     4.07	     5.70	    -0.08	     7.00	   338.19	    -3.86
  1670.73	 -1098.83	  -513.53	     0.29	    20.58	     4.22	    -2.76	     0.11	     5.04	   245.02	     5.34
  1691.08	 -1093.30	  -512.03	     0.27	    20.35	     5.53	     1.50	    -0.02	     5.73	   281.56	    -0.98
  1750.48	 -1085.03	  -507.68	     0.24	    59.40	     8.27	     4.35	    -0.03	     9.34	   157.31	    -0.51
  1789.45	 -1080.89	  -506.21	     0.24	    38.97	     4.14	     1.47	     0.00	     4.39	   112.73	     0.00
  1809.52	 -1075.36	  -504.72	     0.26	    20.07	     5.53	     1.49	     0.02	     5.73	   285.36	     1.00
  1829.76	 -1069.80	  -504.63	     0.25	    20.24	     5.56	     0.09	    -0.01	     5.56	   274.74	    -0.49
  1849.93	 -1064.23	  -505.26	     0.29	    20.17	     5.57	    -0.63	     0.04	     5.61	   277.91	     1.98
  1870.14	 -1061.49	  -503.10	     0.27	    20.21	     2.74	     2.16	    -0.02	     3.49	   172.64	    -0.99
  1909.54	 -1057.34	  -501.63	     0.24	    39.40	     4.15	     1.47	    -0.03	     4.40	   111.74	    -0.76
  1929.81	 -1051.78	  -501.55	     0.29	    20.27	     5.56	     0.08	     0.05	     5.56	   274.33	     2.47
  1950.08	 -1046.20	  -502.87	     0.31	    20.27	     5.58	    -1.32	     0.02	     5.73	   282.88	     0.99
  1971.41	 -1040.69	  -499.97	     0.29	    21.33	     5.51	     2.90	    -0.02	     6.23	   291.92	    -0.94
  2010.24	 -1036.57	  -497.09	     0.27	    38.83	     4.12	     2.88	    -0.02	     5.03	   129.46	    -0.52
  2031.13	 -1030.98	  -498.41	     0.34	    20.89	     5.59	    -1.32	     0.07	     5.74	   274.95	     3.35
  2051.65	 -1026.86	  -495.53	     0.29	    20.52	     4.12	     2.88	    -0.05	     5.03	   244.97	    -2.44
  2090.16	 -1022.72	  -494.06	     0.29	    38.51	     4.14	     1.47	     0.00	     4.39	   114.08	     0.00
  2110.20	 -1018.52	  -495.41	     0.31	    20.04	     4.20	    -1.35	     0.02	     4.41	   220.14	     1.00
  2130.76	 -1014.43	  -491.11	     0.27	    20.56	     4.09	     4.30	    -0.04	     5.93	   288.64	    -1.95
  2150.82	 -1008.89	  -489.62	     0.28	    20.06	     5.54	     1.49	     0.01	     5.74	   285.99	     0.50
  2190.52	 -1003.29	  -491.65	     0.34	    39.70	     5.60	    -2.03	     0.06	     5.96	   150.04	     1.51
  2210.61	  -997.77	  -489.45	     0.31	    20.09	     5.52	     2.20	    -0.03	     5.94	   295.78	    -1.49
  2231.86	  -993.64	  -486.57	     0.31	    21.25	     4.13	     2.88	     0.00	     5.04	   236.94	     0.00
  2251.90	  -988.06	  -487.89	     0.36	    20.04	     5.58	    -1.32	     0.05	     5.73	   286.13	     2.50
  2290.13	  -983.93	  -485.01	     0.29	    38.23	     4.13	     2.88	    -0.07	     5.04	   131.70	    -1.83
  2310.14	  -978.42	  -482.10	     0.34	    20.01	     5.51	     2.91	     0.05	     6.23	   311.41	     2.50
  2330.34	  -975.61	  -483.47	     0.36	    20.20	     2.81	    -1.37	     0.02	     3.13	   154.76	     0.99
  2370.32	  -969.38	  -481.97	     0.37	    39.98	     6.23	     1.50	     0.01	     6.41	   160.28	     0.25
  2390.89	  -965.97	  -477.68	     0.31	    20.57	     3.41	     4.29	    -0.06	     5.48	   266.42	    -2.92
  2411.16	  -958.94	  -481.81	     0.41	    20.27	     7.03	    -4.13	     0.10	     8.15	   402.24	     4.93
  2431.72	  -954.89	  -474.69	     0.30	    20.56	     4.05	     7.12	    -0.11	     8.19	   398.41	    -5.35
  2471.25	  -950.70	  -476.04	     0.36	    39.53	     4.19	    -1.35	     0.06	     4.40	   111.36	     1.52
  2491.28	  -945.15	  -474.54	     0.36	    20.03	     5.55	     1.50	     0.00	     5.75	   287.03	     0.00
  2511.85	  -941.03	  -471.65	     0.34	    20.57	     4.12	     2.89	    -0.02	     5.03	   244.65	    -0.97
  2532.29	  -936.90	  -468.77	     0.31	    20.44	     4.13	     2.88	    -0.03	     5.04	   246.33	    -1.47
  2571.27	  -932.04	  -467.99	     0.30	    38.98	     4.86	     0.78	    -0.01	     4.92	   126.27	    -0.26
  2591.37	  -927.21	  -465.79	     0.32	    20.10	     4.83	     2.20	     0.02	     5.31	   264.05	     1.00
  2612.58	  -922.36	  -464.31	     0.29	    21.21	     4.85	     1.48	    -0.03	     5.07	   239.08	    -1.41
  2632.71	  -917.49	  -464.23	     0.35	    20.13	     4.87	     0.08	     0.06	     4.87	   241.96	     2.98
  2671.52	  -913.36	  -461.34	     0.36	    38.81	     4.13	     2.89	     0.01	     5.04	   129.88	     0.26
  2691.73	  -907.77	  -462.67	     0.36	    20.21	     5.59	    -1.33	     0.00	     5.75	   284.32	     0.00
  2712.81	  -902.22	  -461.17	     0.38	    21.08	     5.55	     1.50	     0.02	     5.75	   272.73	     0.95
  2752.46	  -898.07	  -459.69	     0.38	    39.65	     4.15	     1.48	     0.00	     4.41	   111.12	     0.00
  2772.16	  -893.96	  -455.39	     0.34	    19.70	     4.11	     4.30	    -0.04	     5.95	   301.94	    -2.03
  2792.37	  -888.34	  -458.13	     0.42	    20.21	     5.62	    -2.74	     0.08	     6.25	   309.37	     3.96
  2812.98	  -885.70	  -449.61	     0.32	    20.61	     2.64	     8.52	    -0.10	     8.92	   432.78	    -4.85
  2851.69	  -880.10	  -450.94	     0.38	    38.71	     5.60	    -1.33	     0.06	     5.76	   148.69	     1.55
  2872.44	  -874.53	  -450.85	     0.41	    20.75	     5.57	     0.09	     0.03	     5.57	   268.47	     1.45
  2893.12	  -870.41	  -447.26	     0.36	    20.68	     4.12	     3.59	    -0.05	     5.46	   264.25	    -2.42
  2913.84	  -866.27	  -445.07	     0.36	    20.72	     4.14	     2.19	     0.00	     4.68	   226.04	     0.00
  2951.75	  -860.69	  -444.98	     0.38	    37.91	     5.58	     0.09	     0.02	     5.58	   147.21	     0.53
  2971.91	  -856.56	  -442.09	     0.36	    20.16	     4.13	     2.89	    -0.02	     5.04	   250.04	    -0.99
  3011.97	  -851.01	  -440.59	     0.39	    40.06	     5.55	     1.50	     0.03	     5.75	   143.51	     0.75
  3031.98	  -846.82	  -440.52	     0.42	    20.01	     4.19	     0.07	     0.03	     4.19	   209.42	     1.50
  3051.96	  -841.24	  -440.43	     0.46	    19.98	     5.58	     0.09	     0.04	     5.58	   279.32	     2.00
  3071.94	  -837.13	  -436.13	     0.43	    19.98	     4.11	     4.30	    -0.03	     5.95	   297.71	    -1.50
  3092.67	  -833.73	  -431.13	     0.36	    20.73	     3.40	     5.00	    -0.07	     6.05	   291.68	    -3.38
  3132.45	  -828.84	  -431.76	     0.42	    39.78	     4.89	    -0.63	     0.06	     4.93	   123.94	     1.51
  3153.11	  -823.28	  -430.25	     0.41	    20.66	     5.56	     1.51	    -0.01	     5.76	   278.87	    -0.48
  3193.55	  -813.54	  -428.68	     0.43	    40.44	     9.74	     1.57	     0.02	     9.87	   243.96	     0.49
  3233.75	  -809.42	  -424.37	     0.45	    40.20	     4.12	     4.31	     0.02	     5.96	   148.32	     0.50
  3254.48	  -803.86	  -422.87	     0.43	    20.73	     5.56	     1.50	    -0.02	     5.76	   277.80	    -0.96
  3274.60	  -801.12	  -420.00	     0.40	    20.12	     2.74	     2.87	    -0.03	     3.97	   197.21	    -1.49
  3313.32	  -795.54	  -419.91	     0.45	    38.72	     5.58	     0.09	     0.05	     5.58	   144.13	     1.29
