     Time	    Pos x	    Pos y	    Angle	Diff Time	Diff Posx	Diff Posy	Diff Angl	Diff Long	Rel Speed	Rel AnSpd	
     0.00	 -1348.79	  -709.82	     0.03	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
    20.21	 -1316.24	  -698.03	    -2.24	    20.21	    32.55	    11.79	    -2.27	    34.62	 -1712.99	  -112.32
    40.38	 -1344.61	  -709.76	     0.00	    20.17	   -28.37	   -11.73	     2.24	    30.70	 -1522.03	   111.06
   103.00	 -1327.90	  -709.52	     0.00	    62.62	    16.71	     0.24	     0.00	    16.71	   266.88	     0.00
   140.66	 -1316.79	  -707.94	    -0.02	    37.66	    11.11	     1.58	    -0.02	    11.22	   297.98	    -0.53
   282.58	 -1262.38	  -716.33	     0.13	   141.92	    54.41	    -8.39	     0.15	    55.05	   387.92	     1.06
   300.87	 -1249.97	  -708.38	     0.03	    18.29	    12.41	     7.95	    -0.10	    14.74	   805.80	    -5.47
   320.97	 -1237.31	  -717.38	     0.15	    20.10	    12.66	    -9.00	     0.12	    15.53	   772.79	     5.97
   382.61	 -1199.90	  -707.66	     0.00	    61.64	    37.41	     9.72	    -0.15	    38.65	   627.06	    -2.43
   420.92	 -1184.50	  -713.80	     0.13	    38.31	    15.40	    -6.14	     0.13	    16.58	   432.76	     3.39
   480.92	 -1159.45	  -714.86	     0.15	    60.00	    25.05	    -1.06	     0.02	    25.07	   417.87	     0.33
   501.04	 -1145.56	  -713.25	     0.10	    20.12	    13.89	     1.61	    -0.05	    13.98	   694.98	    -2.49
   601.02	 -1105.30	  -708.45	     0.06	    99.98	    40.26	     4.80	    -0.04	    40.55	   405.53	    -0.40
   760.98	 -1009.98	  -707.86	     0.00	   159.96	    95.32	     0.59	    -0.06	    95.32	   595.91	    -0.38
   801.05	  -982.86	  -706.08	    -0.02	    40.07	    27.12	     1.78	    -0.02	    27.18	   678.27	    -0.50
   880.97	  -939.44	  -718.95	     0.18	    79.92	    43.42	   -12.87	     0.20	    45.29	   566.66	     2.50
   902.00	  -925.70	  -707.45	    -0.01	    21.03	    13.74	    11.50	    -0.19	    17.92	   852.00	    -9.03
   922.43	  -910.35	  -707.96	    -0.02	    20.43	    15.35	    -0.51	    -0.01	    15.36	   751.76	    -0.49
  1022.46	  -855.89	  -710.08	     0.00	   100.03	    54.46	    -2.12	     0.02	    54.50	   544.85	     0.20
  1061.42	  -841.90	  -711.32	    -0.04	    38.96	    13.99	    -1.24	    -0.04	    14.04	   360.49	    -1.03
  1081.61	  -828.41	  -722.49	     0.14	    20.19	    13.49	   -11.17	     0.18	    17.51	   867.47	     8.92
  1141.42	  -801.34	  -712.23	    -0.02	    59.81	    27.07	    10.26	    -0.16	    28.95	   484.02	    -2.68
  1162.25	  -785.26	  -712.03	    -0.05	    20.83	    16.08	     0.20	    -0.03	    16.08	   772.02	    -1.44
  1285.58	  -729.18	  -714.88	    -0.03	   123.33	    56.08	    -2.85	     0.02	    56.15	   455.30	     0.16
  1382.93	  -680.01	  -717.84	    -0.02	    97.35	    49.17	    -2.96	     0.01	    49.26	   506.00	     0.10
  1462.70	  -646.25	  -718.86	    -0.05	    79.77	    33.76	    -1.02	    -0.03	    33.78	   423.41	    -0.38
  1481.51	  -637.08	  -720.18	    -0.02	    18.81	     9.17	    -1.32	     0.03	     9.26	   492.53	     1.59
  1522.01	  -625.80	  -721.47	     0.00	    40.50	    11.28	    -1.29	     0.02	    11.35	   280.33	     0.49
  1542.98	  -608.90	  -721.27	     0.00	    20.97	    16.90	     0.20	     0.00	    16.90	   805.97	     0.00
  1562.98	  -600.48	  -719.75	    -0.02	    20.00	     8.42	     1.52	    -0.02	     8.56	   427.80	    -1.00
