time 		pos x 		pos y 		angle 		
0.0 		499.19 		656.74 		0.75 		
0.02 		510.82 		690.95 		-1.6 		
0.04 		510.82 		690.95 		-1.6 		
0.06 		512.23 		688.17 		-1.62 		
0.08 		499.18 		658.13 		0.41 		
0.1 		512.23 		688.17 		-1.62 		
0.12 		499.17 		659.52 		0.7 		
0.14 		499.17 		659.52 		0.7 		
0.16 		500.58 		655.35 		0.7 		
0.18 		512.23 		688.17 		-1.62 		
0.2 		512.23 		688.17 		-1.63 		
0.22 		512.23 		688.17 		-0.87 		
0.24 		512.23 		688.17 		-0.87 		
0.26 		512.23 		688.17 		-1.58 		
0.28 		512.23 		689.57 		-1.62 		
0.3 		512.23 		688.17 		-0.73 		
0.32 		512.23 		688.17 		-0.73 		
0.34 		512.23 		689.57 		-1.62 		
0.36 		512.23 		689.57 		-0.61 		
0.38 		499.19 		656.74 		0.7 		
0.4 		499.19 		656.74 		0.7 		
0.42 		499.19 		656.74 		0.7 		
0.44 		499.19 		656.74 		0.7 		
0.46 		540.54 		720.36 		-1.14 		
0.48 		512.23 		688.17 		-1.58 		
0.5 		544.02 		719.68 		-1.25 		
0.52 		544.02 		719.68 		-1.25 		
0.54 		499.18 		658.13 		0.81 		
0.56 		512.23 		688.17 		-1.62 		
0.58 		512.23 		689.57 		-1.62 		
0.6 		512.23 		688.87 		-0.78 		
0.62 		512.23 		688.87 		-0.78 		
0.64 		512.23 		688.87 		-1.58 		
0.66 		512.23 		688.87 		-1.62 		
0.68 		512.23 		688.17 		-0.68 		
0.7 		512.23 		688.17 		-0.68 		
0.72 		512.23 		688.17 		-1.62 		
0.74 		512.23 		688.17 		-1.62 		
0.76 		512.23 		688.17 		-1.62 		
0.79 		500.58 		656.74 		0.19 		
0.8 		500.58 		656.74 		0.19 		
0.82 		512.23 		689.57 		-1.62 		
0.84 		512.23 		688.17 		-1.62 		
0.86 		497.78 		659.51 		0.35 		
0.89 		512.23 		688.17 		-1.62 		
0.9 		512.23 		688.17 		-1.62 		
0.92 		512.23 		688.17 		-1.58 		
0.94 		595.34 		632.88 		2.69 		
0.96 		512.23 		689.57 		-1.63 		
0.98 		512.23 		689.57 		-1.63 		
1.0 		497.78 		659.51 		0.81 		
1.02 		500.58 		656.74 		0.89 		
1.04 		499.19 		656.74 		0.88 		
1.07 		512.23 		688.17 		-1.62 		
1.08 		512.23 		688.17 		-1.62 		
1.1 		500.58 		656.74 		0.73 		
1.12 		499.19 		656.74 		0.67 		
1.14 		591.83 		637.74 		2.69 		
1.16 		512.23 		689.57 		-1.62 		
1.18 		512.23 		689.57 		-1.62 		
1.2 		512.23 		688.17 		-1.58 		
1.23 		512.23 		688.17 		-0.92 		
1.25 		595.75 		678.17 		3.08 		
1.26 		595.75 		678.17 		3.08 		
1.28 		512.23 		688.17 		-1.58 		
1.3 		512.22 		690.26 		-1.58 		
1.33 		512.23 		688.17 		-1.58 		
1.35 		544.01 		721.07 		-1.26 		
