     time	    pos x	    pos y	    angle	 difftime	 diffposx	 diffposy	 diffangl	 difflong	 relspeed	
     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
     0.00	   682.00	   674.49	     1.57	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
     0.02	   682.00	   674.49	     1.57	     0.02	     0.00	     0.00	     0.00	    -0.00	    -0.00
     0.04	   682.00	   674.49	     1.57	     0.02	     0.00	     0.00	    -0.00	    -0.00	    -0.00
     0.06	   682.00	   674.49	     1.57	     0.02	     0.00	     0.00	     0.00	    -0.00	    -0.00
     0.08	   682.00	   674.49	     1.57	     0.02	     0.00	     0.00	     0.00	    -0.00	    -0.00
     0.10	   682.00	   674.49	     1.57	     0.02	     0.00	     0.00	     0.00	    -0.00	    -0.00
     0.12	   682.00	   674.49	     1.57	     0.02	     0.00	     0.00	     0.00	    -0.00	    -0.00
     0.14	   639.26	   724.38	    -0.10	     0.02	   -42.74	    49.90	    -1.66	   -65.70	 -3272.67
     0.16	   639.26	   724.38	    -0.10	     0.02	     0.00	     0.00	     0.00	    -0.00	    -0.00
     0.18	   639.26	   724.38	    -0.10	     0.02	     0.00	     0.00	     0.00	    -0.00	    -0.00
     0.22	   670.64	   707.16	    -0.65	     0.04	    31.39	   -17.22	    -0.56	    35.80	   999.28
     0.24	   682.00	   674.49	     1.59	     0.02	    11.35	   -32.67	     2.24	    34.59	  1871.88
     0.24	   682.00	   674.49	     1.59	     0.01	     0.00	     0.00	     0.00	    -0.00	    -0.00
     0.26	   670.64	   707.16	    -0.77	     0.02	   -11.35	    32.67	    -2.36	   -34.59	 -1704.53
     0.28	   670.64	   707.16	    -0.69	     0.02	     0.00	     0.00	     0.08	    -0.00	    -0.00
     0.31	   682.00	   674.49	     1.57	     0.02	    11.35	   -32.67	     2.26	    34.59	  1616.42
     0.33	   681.99	   675.88	     1.57	     0.02	    -0.01	     1.39	    -0.00	    -1.39	   -69.73
     0.34	   681.99	   675.88	     1.57	     0.02	     0.00	     0.00	     0.00	    -0.00	    -0.00
     0.37	   670.63	   708.55	    -0.34	     0.02	   -11.35	    32.67	    -1.90	   -34.59	 -1679.35
     0.39	   670.63	   708.55	    -0.34	     0.02	     0.00	     0.00	     0.00	    -0.00	    -0.00
     0.40	   670.63	   708.55	    -0.34	     0.02	     0.00	     0.00	     0.00	    -0.00	    -0.00
     0.43	   670.64	   707.16	    -0.58	     0.02	     0.01	    -1.39	    -0.25	     1.39	    59.28
     0.44	   670.64	   707.16	    -0.58	     0.02	     0.00	     0.00	     0.00	    -0.00	    -0.00
     0.46	   670.64	   707.16	    -0.58	     0.02	     0.00	     0.00	     0.00	    -0.00	    -0.00
     0.49	   682.00	   674.49	     1.57	     0.02	    11.35	   -32.67	     2.15	    34.59	  1514.05
     0.51	   670.64	   707.16	    -0.56	     0.02	   -11.35	    32.67	    -2.13	   -34.59	 -1646.58
     0.53	   682.00	   674.49	     1.57	     0.02	    11.35	   -32.67	     2.13	    34.59	  1675.64
     0.55	   682.00	   674.49	     1.57	     0.02	     0.00	     0.00	     0.00	    -0.00	    -0.00
     0.57	   670.64	   707.16	    -0.64	     0.02	   -11.35	    32.67	    -2.20	   -34.59	 -1652.34
     0.59	   682.00	   674.49	     1.57	     0.02	    11.35	   -32.67	     2.20	    34.59	  1648.49
     0.61	   682.00	   674.49	     1.57	     0.02	     0.00	     0.00	     0.00	    -0.00	    -0.00
     0.63	   682.00	   674.49	     1.57	     0.02	     0.00	     0.00	     0.00	    -0.00	    -0.00
     0.65	   682.00	   674.49	     1.57	     0.02	     0.00	     0.00	     0.00	    -0.00	    -0.00
     0.67	   670.64	   707.16	    -0.44	     0.02	   -11.35	    32.67	    -2.01	   -34.59	 -1609.73
     0.69	   682.00	   674.49	     0.77	     0.02	    11.35	   -32.67	     1.21	    34.59	  1691.71
     0.71	   682.00	   674.49	     0.77	     0.02	     0.00	     0.00	     0.00	    -0.00	    -0.00
     0.73	   682.00	   674.49	     0.77	     0.02	     0.00	     0.00	     0.00	    -0.00	    -0.00
     0.75	   670.64	   707.16	    -0.65	     0.02	   -11.35	    32.67	    -1.42	   -34.59	 -1597.46
     0.77	   682.00	   674.49	     0.70	     0.02	    11.35	   -32.67	     1.35	    34.59	  1615.59
     0.79	   683.39	   674.49	     1.59	     0.02	     1.39	     0.01	     0.89	     1.39	    70.01
     0.81	   682.00	   674.49	     0.69	     0.02	    -1.39	    -0.01	    -0.90	    -1.39	   -66.42
     0.83	   682.00	   674.49	     0.69	     0.02	     0.00	     0.00	     0.00	    -0.00	    -0.00
     0.85	   670.64	   707.16	    -0.72	     0.02	   -11.35	    32.67	    -1.41	   -34.59	 -1672.15
     0.87	   670.64	   707.16	    -0.72	     0.02	     0.00	     0.00	     0.00	    -0.00	    -0.00
     0.89	   670.64	   707.16	    -0.72	     0.02	     0.00	     0.00	     0.00	    -0.00	    -0.00
     0.91	   712.09	   647.45	     1.08	     0.02	    41.45	   -59.71	     1.80	    72.69	  3164.04
     0.93	   712.09	   647.45	     1.08	     0.02	     0.00	     0.00	     0.00	    -0.00	    -0.00
     0.95	   682.00	   674.49	     1.57	     0.02	   -30.10	    27.04	     0.49	   -40.46	 -1854.87
     0.97	   681.97	   677.97	     2.16	     0.02	    -0.02	     3.48	     0.59	    -3.48	  -177.04
     0.99	   682.00	   674.49	     1.57	     0.02	     0.02	    -3.48	    -0.59	     3.48	   173.52
     1.01	   682.00	   674.49	     1.57	     0.02	     0.00	     0.00	     0.00	    -0.00	    -0.00
     1.03	   682.00	   674.49	     1.57	     0.02	     0.00	     0.00	     0.00	    -0.00	    -0.00
     1.05	   682.00	   674.49	     1.57	     0.02	     0.00	     0.00	     0.00	    -0.00	    -0.00
     1.07	   682.00	   674.49	     1.57	     0.02	     0.00	     0.00	     0.00	    -0.00	    -0.00
